기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.07.15 장마감,삼성전자,16340349,279500,6.27,삼성,IT,반도체
2026.07.15 장마감,SK하이닉스,14838463,2082000,8.83,SK,IT,반도체
2026.07.15 장마감,SK스퀘어,1823665,1382000,16.13,SK,산업재,지주
2026.07.15 장마감,삼성전기,1055422,1413000,12.14,삼성,IT,전자부품
2026.07.15 장마감,현대차,888649,434000,2.24,현대차,자유소비재,자동차
2026.07.15 장마감,LG에너지솔루션,783900,335000,4.04,LG,소재,배터리
2026.07.15 장마감,삼성생명,675000,337500,6.47,삼성,금융,보험
2026.07.15 장마감,KB금융,644113,181600,0.89,KB금융,금융,은행
2026.07.15 장마감,삼성바이오로직스,640204,1383000,1.1,삼성,헬스케어,바이오
2026.07.15 장마감,삼성물산,595155,367000,3.67,삼성,산업재,상사
2026.07.15 장마감,기아,566099,145000,3.87,현대차,자유소비재,자동차
2026.07.15 장마감,신한지주,509304,107300,0.75,신한금융,금융,은행
2026.07.15 장마감,HD현대중공업,494367,471000,1.07,HD현대,산업재,조선
2026.07.15 장마감,한화에어로스페이스,479024,929000,6.54,한화,산업재,방산
2026.07.15 장마감,두산에너빌리티,467610,73000,2.96,두산,산업재,전력기기
2026.07.15 장마감,현대모비스,444136,489500,5.04,현대차,자유소비재,자동차부품
2026.07.15 장마감,SK,441541,609000,8.36,SK,산업재,지주
2026.07.15 장마감,셀트리온,408597,175700,1.68,셀트리온,헬스케어,바이오
2026.07.15 장마감,하나금융지주,375335,136800,2.09,하나금융,금융,은행
2026.07.15 장마감,삼성SDI,365858,454000,6.2,삼성,소재,배터리
2026.07.15 장마감,LG전자,315996,194000,4.64,LG,자유소비재,가전
2026.07.15 장마감,LS ELECTRIC,302250,201500,7.35,LS,산업재,전력기기
2026.07.15 장마감,NAVER,297566,189600,3.49,NAVER,커뮤니케이션서비스,플랫폼
2026.07.15 장마감,HD현대일렉트릭,296668,823000,3.26,HD현대,산업재,전력기기
2026.07.15 장마감,삼성화재,295120,661000,5.25,삼성,금융,보험
2026.07.15 장마감,효성중공업,267428,2868000,7.13,효성,산업재,전력기기
2026.07.15 장마감,한미반도체,256866,269500,29.88,한미반도체,IT,반도체장비
2026.07.15 장마감,한화오션,251259,82000,6.77,한화,산업재,조선
2026.07.15 장마감,POSCO홀딩스,249215,314500,3.62,포스코,소재,철강
