기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.23 장마감,삼성전자,13124895,224500,3.22,삼성,IT,반도체
2026.04.23 장마감,SK하이닉스,8730604,1225000,0.16,SK,IT,반도체
2026.04.23 장마감,LG에너지솔루션,1091610,466500,-3.72,LG,소재,배터리
2026.04.23 장마감,현대차,1089311,532000,-1.66,현대차,자유소비재,자동차
2026.04.23 장마감,SK스퀘어,960657,728000,1.11,SK,산업재,지주
2026.04.23 장마감,두산에너빌리티,785328,122600,5.78,두산,산업재,전력기기
2026.04.23 장마감,한화에어로스페이스,734778,1425000,0.64,한화,산업재,방산
2026.04.23 장마감,삼성바이오로직스,700845,1514000,-3.01,삼성,헬스케어,바이오
2026.04.23 장마감,HD현대중공업,672801,641000,0.0,HD현대,산업재,조선
2026.04.23 장마감,기아,618414,158400,-1.0,현대차,자유소비재,자동차
2026.04.23 장마감,KB금융,589104,158000,0.38,KB금융,금융,은행
2026.04.23 장마감,삼성전기,578129,774000,-4.68,삼성,IT,전자부품
2026.04.23 장마감,삼성물산,518941,320000,6.31,삼성,산업재,상사
2026.04.23 장마감,삼성생명,511000,255500,3.23,삼성,금융,보험
2026.04.23 장마감,삼성SDI,507689,630000,-4.4,삼성,소재,배터리
2026.04.23 장마감,신한지주,474180,99900,1.32,신한금융,금융,은행
2026.04.23 장마감,셀트리온,457193,206000,0.98,셀트리온,헬스케어,바이오
2026.04.23 장마감,한화오션,411820,134400,-0.44,한화,산업재,조선
2026.04.23 장마감,HD현대일렉트릭,406972,1129000,3.58,HD현대,산업재,전력기기
2026.04.23 장마감,현대모비스,401492,442500,-3.07,현대차,자유소비재,자동차부품
2026.04.23 장마감,미래에셋증권,378827,67700,-2.03,미래에셋,금융,증권
2026.04.23 장마감,고려아연,349414,1674000,-1.41,영풍,소재,금속소재
2026.04.23 장마감,NAVER,341154,217500,1.64,NAVER,커뮤니케이션서비스,플랫폼
2026.04.23 장마감,하나금융지주,331711,120900,1.17,하나금융,금융,은행
2026.04.23 장마감,HD한국조선해양,326264,461000,-0.43,HD현대,산업재,조선
2026.04.23 장마감,LS ELECTRIC,325500,217000,11.74,LS,산업재,전력기기
2026.04.23 장마감,POSCO홀딩스,325286,410500,-1.91,포스코,소재,철강
2026.04.23 장마감,효성중공업,304726,3268000,5.97,효성,산업재,전력기기
2026.04.23 장마감,삼성중공업,299200,34000,6.92,삼성,산업재,조선
2026.04.23 장마감,한국전력,296587,46200,-0.32,한국전력,유틸리티,전력
2026.04.23 장마감,SK,287473,396500,3.93,SK,산업재,지주
2026.04.23 장마감,한미반도체,279741,293500,0.0,한미반도체,IT,반도체장비
2026.04.23 장마감,LG화학,276369,391500,-0.13,LG,소재,화학
2026.04.23 장마감,현대로템,257030,235500,-0.84,현대차,산업재,방산
2026.04.23 장마감,우리금융지주,255826,34850,-0.14,우리금융,금융,은행
2026.04.23 장마감,한화시스템,245784,130100,-2.98,한화,산업재,방산
2026.04.23 장마감,두산,233515,1442000,0.28,두산,산업재,지주
2026.04.23 장마감,SK이노베이션,225178,133200,-0.6,SK,에너지,정유
2026.04.23 장마감,HD현대,221181,280000,5.86,HD현대,산업재,지주
2026.04.23 장마감,포스코퓨처엠,218808,246000,-4.47,포스코,소재,배터리
2026.04.23 장마감,카카오,214412,48400,-0.1,카카오,커뮤니케이션서비스,플랫폼
2026.04.23 장마감,LIG디펜스앤에어로스페이스,212520,966000,-5.29,,,
2026.04.23 장마감,SK텔레콤,212213,98800,-1.5,SK,커뮤니케이션서비스,통신
2026.04.23 장마감,LG전자,211589,129900,-2.18,LG,자유소비재,가전
2026.04.23 장마감,삼성화재,206718,463000,0.33,삼성,금융,보험
2026.04.23 장마감,KT&G,196097,171000,0.0,KT&G,필수소비재,기호품
2026.04.23 장마감,HMM,195722,20750,-0.48,HMM,산업재,물류운송
2026.04.23 장마감,메리츠금융지주,195629,116900,1.21,메리츠,금융,금융지주
2026.04.23 장마감,현대건설,195318,175400,3.91,현대차,산업재,건설
2026.04.23 장마감,한국항공우주,177892,182500,-1.78,KAI,산업재,방산
2026.04.23 장마감,기업은행,177826,22300,-0.22,IBK,금융,은행
2026.04.23 장마감,현대글로비스,172500,230000,-2.34,현대차,산업재,물류운송
