기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.06.01 장마감,삼성전자,20403512,349000,10.09,삼성,IT,반도체
2026.06.01 장마감,SK하이닉스,16841157,2363000,1.29,SK,IT,반도체
2026.06.01 장마감,SK스퀘어,1657397,1256000,1.87,SK,산업재,지주
2026.06.01 장마감,현대차,1535683,750000,3.73,현대차,자유소비재,자동차
2026.06.01 장마감,삼성전기,1497609,2005000,-5.74,삼성,IT,전자부품
2026.06.01 장마감,LG에너지솔루션,1064700,455000,-0.66,LG,소재,배터리
2026.06.01 장마감,삼성생명,820000,410000,5.53,삼성,금융,보험
2026.06.01 장마감,삼성물산,737862,455000,5.2,삼성,산업재,상사
2026.06.01 장마감,HD현대중공업,717935,684000,-1.72,HD현대,산업재,조선
2026.06.01 장마감,현대모비스,690475,761000,-0.91,현대차,자유소비재,자동차부품
2026.06.01 장마감,두산에너빌리티,684760,106900,1.23,두산,산업재,전력기기
2026.06.01 장마감,기아,663312,169900,0.41,현대차,자유소비재,자동차
2026.06.01 장마감,삼성바이오로직스,637426,1377000,1.03,삼성,헬스케어,바이오
2026.06.01 장마감,LG전자,619776,380500,29.86,LG,자유소비재,가전
2026.06.01 장마감,한화에어로스페이스,586792,1138000,-2.98,한화,산업재,방산
2026.06.01 장마감,KB금융,567106,152100,1.0,KB금융,금융,은행
2026.06.01 장마감,삼성SDI,525418,652000,-5.23,삼성,소재,배터리
2026.06.01 장마감,SK,476343,657000,-2.81,SK,산업재,지주
2026.06.01 장마감,신한지주,439530,92600,-1.07,신한금융,금융,은행
2026.06.01 장마감,NAVER,425912,271500,16.03,NAVER,커뮤니케이션서비스,플랫폼
2026.06.01 장마감,셀트리온,425809,191700,-0.62,셀트리온,헬스케어,바이오
2026.06.01 장마감,LS ELECTRIC,400500,267000,10.56,LS,산업재,전력기기
2026.06.01 장마감,HD현대일렉트릭,384262,1066000,1.23,HD현대,산업재,전력기기
2026.06.01 장마감,한화오션,382710,124900,1.3,한화,산업재,조선
2026.06.01 장마감,LG이노텍,362107,1530000,4.94,LG,IT,전자부품
2026.06.01 장마감,두산,356750,2203000,11.71,두산,산업재,지주
2026.06.01 장마감,효성중공업,355359,3811000,3.42,효성,산업재,전력기기
2026.06.01 장마감,미래에셋증권,340776,60900,-0.81,미래에셋,금융,증권
2026.06.01 장마감,POSCO홀딩스,327268,413000,-2.48,포스코,소재,철강
2026.06.01 장마감,하나금융지주,312505,113900,-1.04,하나금융,금융,은행
2026.06.01 장마감,고려아연,287003,1375000,0.15,영풍,소재,금속소재
2026.06.01 장마감,HD한국조선해양,286277,404500,-4.37,HD현대,산업재,조선
2026.06.01 장마감,삼성에스디에스,280108,362000,21.07,삼성,IT,IT서비스
2026.06.01 장마감,한미반도체,279265,293000,3.9,한미반도체,IT,반도체장비
2026.06.01 장마감,삼성화재,269671,604000,6.15,삼성,금융,보험
2026.06.01 장마감,현대오토에버,257237,938000,0.75,현대차,IT,IT서비스
2026.06.01 장마감,LG화학,256603,363500,-0.95,LG,소재,화학
2026.06.01 장마감,LG,255699,165800,13.1,LG,산업재,지주
2026.06.01 장마감,한국전력,248119,38650,-0.64,한국전력,유틸리티,전력
2026.06.01 장마감,삼성중공업,242440,27550,-1.43,삼성,산업재,조선
2026.06.01 장마감,SK텔레콤,240994,112200,11.53,SK,커뮤니케이션서비스,통신
2026.06.01 장마감,현대로템,232473,213000,6.23,현대차,산업재,방산
2026.06.01 장마감,HD현대,221971,281000,1.26,HD현대,산업재,지주
2026.06.01 장마감,우리금융지주,215818,29400,-1.01,우리금융,금융,은행
2026.06.01 장마감,포스코퓨처엠,205466,231000,-5.91,포스코,소재,배터리
2026.06.01 장마감,SK이노베이션,196439,116200,-2.52,SK,에너지,정유
2026.06.01 장마감,한화시스템,192698,102000,-2.86,한화,산업재,방산
2026.06.01 장마감,KT&G,192153,185100,0.22,KT&G,필수소비재,기호품
2026.06.01 장마감,카카오,188602,42700,1.79,카카오,커뮤니케이션서비스,플랫폼
2026.06.01 장마감,HMM,186478,19770,1.07,HMM,산업재,물류운송
2026.06.01 장마감,메리츠금융지주,177555,106100,3.11,메리츠,금융,금융지주
2026.06.01 장마감,현대글로비스,174375,232500,-4.12,현대차,산업재,물류운송
2026.06.01 장마감,LIG디펜스앤에어로스페이스,170720,776000,-3.12,,,
2026.06.01 장마감,기업은행,159884,20050,-0.74,IBK,금융,은행
2026.06.01 장마감,에이피알,159674,426500,7.84,에이피알,필수소비재,화장품
2026.06.01 장마감,한국항공우주,158884,163000,-3.15,KAI,산업재,방산
2026.06.01 장마감,현대건설,154673,138900,-5.51,현대차,산업재,건설
2026.06.01 장마감,LS,145392,466000,4.48,LS,산업재,지주
2026.06.01 장마감,LG씨엔에스,139225,143700,26.27,LG,IT,IT서비스
2026.06.01 장마감,한국금융지주,137086,246000,3.58,한국투자금융,금융,금융지주
2026.06.01 장마감,KT,134076,53200,0.76,KT,커뮤니케이션서비스,통신
2026.06.01 장마감,삼성에피스홀딩스,120061,482500,-0.31,삼성,산업재,지주
2026.06.01 장마감,S-Oil,117874,104700,-2.51,S-Oil,에너지,정유
2026.06.01 장마감,크래프톤,115112,249500,-3.11,크래프톤,커뮤니케이션서비스,게임
2026.06.01 장마감,NH투자증권,111179,31200,3.31,NH,금융,증권
2026.06.01 장마감,삼성증권,111178,124500,3.92,삼성,금융,증권
2026.06.01 장마감,포스코인터내셔널,108368,61600,-3.45,포스코,산업재,상사
2026.06.01 장마감,카카오뱅크,105682,22150,-1.12,카카오,금융,은행
2026.06.01 장마감,HD현대마린솔루션,104462,233000,4.02,HD현대,산업재,조선
2026.06.01 장마감,이수페타시스,102332,139400,7.89,이수,IT,전자부품
2026.06.01 장마감,키움증권,99930,381000,2.83,다우키움,금융,증권
2026.06.01 장마감,대우건설,99645,24250,-7.44,중흥,산업재,건설
2026.06.01 장마감,삼성E&A,98588,50300,-4.91,삼성,산업재,건설
2026.06.01 장마감,대한항공,95001,25800,-3.73,한진,산업재,물류운송
2026.06.01 장마감,대한전선,93292,47600,4.73,호반,산업재,전력기기
2026.06.01 장마감,하이브,93101,216000,-1.82,하이브,커뮤니케이션서비스,엔터테인먼트
2026.06.01 장마감,DB손해보험,92355,141000,-1.47,DB,금융,보험
2026.06.01 장마감,한화,90885,128900,-3.59,한화,산업재,지주
2026.06.01 장마감,두산로보틱스,89711,138400,29.95,두산,산업재,로봇산업
2026.06.01 장마감,삼양식품,87835,1166000,-3.24,삼양,필수소비재,식품
2026.06.01 장마감,한국타이어앤테크놀로지,85102,68700,2.84,한국앤컴퍼니,자유소비재,자동차
2026.06.01 장마감,LG디스플레이,79000,15800,-1.8,LG,IT,디스플레이
2026.06.01 장마감,산일전기,75774,247500,0.2,산일전기,산업재,전력기기
2026.06.01 장마감,한진칼,74240,111200,1.0,한진,산업재,지주
2026.06.01 장마감,한화솔루션,69788,40600,-2.99,한화,소재,화학
2026.06.01 장마감,SK바이오팜,69777,89100,-0.67,SK,헬스케어,바이오
2026.06.01 장마감,LG유플러스,69691,16420,1.8,LG,커뮤니케이션서비스,통신
2026.06.01 장마감,한미약품,69051,539000,9.78,한미,헬스케어,바이오
2026.06.01 장마감,GS,68000,73200,0.97,GS,산업재,지주
2026.06.01 장마감,유한양행,66426,83400,-1.88,유한,헬스케어,바이오
2026.06.01 장마감,OCI홀딩스,65533,351000,0.43,OCI,산업재,지주
2026.06.01 장마감,아모레퍼시픽,65102,111300,-3.3,아모레퍼시픽,필수소비재,화장품
2026.06.01 장마감,카카오페이,64111,47400,1.83,카카오,금융,핀테크
2026.06.01 장마감,코웨이,63691,90000,0.0,넷마블,자유소비재,생활가전/렌탈
2026.06.01 장마감,NC,63663,295500,2.07,,,
2026.06.01 장마감,두산밥캣,63265,66000,2.01,두산,산업재,건설기계
2026.06.01 장마감,엘앤에프,62706,155000,-7.9,엘앤에프,소재,배터리
2026.06.01 장마감,SKC,59264,156500,12.35,SK,소재,화학
2026.06.01 장마감,포스코DX,58837,38700,19.26,포스코,IT,IT서비스
2026.06.01 장마감,한온시스템,53571,5220,-7.28,한온시스템,자유소비재,자동차부품
