기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.24 장마감,삼성전자,12832582,219500,-2.23,삼성,IT,반도체
2026.04.24 장마감,SK하이닉스,8709223,1222000,-0.24,SK,IT,반도체
2026.04.24 장마감,LG에너지솔루션,1125540,481000,3.11,LG,소재,배터리
2026.04.24 장마감,현대차,1050407,513000,-3.57,현대차,자유소비재,자동차
2026.04.24 장마감,SK스퀘어,956698,725000,-0.41,SK,산업재,지주
2026.04.24 장마감,두산에너빌리티,814153,127100,3.67,두산,산업재,전력기기
2026.04.24 장마감,한화에어로스페이스,754373,1463000,2.67,한화,산업재,방산
2026.04.24 장마감,삼성바이오로직스,707326,1528000,0.92,삼성,헬스케어,바이오
2026.04.24 장마감,HD현대중공업,704290,671000,4.68,HD현대,산업재,조선
2026.04.24 장마감,기아,598894,153400,-3.16,현대차,자유소비재,자동차
2026.04.24 장마감,삼성전기,588586,788000,1.81,삼성,IT,전자부품
2026.04.24 장마감,KB금융,586867,157400,-0.38,KB금융,금융,은행
2026.04.24 장마감,삼성SDI,516553,641000,1.75,삼성,소재,배터리
2026.04.24 장마감,삼성물산,505156,311500,-2.66,삼성,산업재,상사
2026.04.24 장마감,삼성생명,489000,244500,-4.31,삼성,금융,보험
2026.04.24 장마감,신한지주,474654,100000,0.1,신한금융,금융,은행
2026.04.24 장마감,셀트리온,463851,209000,1.46,셀트리온,헬스케어,바이오
2026.04.24 장마감,HD현대일렉트릭,449868,1248000,10.54,HD현대,산업재,전력기기
2026.04.24 장마감,한화오션,413352,134900,0.37,한화,산업재,조선
2026.04.24 장마감,현대모비스,383345,422500,-4.52,현대차,자유소비재,자동차부품
2026.04.24 장마감,미래에셋증권,374350,66900,-1.18,미래에셋,금융,증권
2026.04.24 장마감,고려아연,342734,1642000,-1.91,영풍,소재,금속소재
2026.04.24 장마감,LS ELECTRIC,339750,226500,4.38,LS,산업재,전력기기
2026.04.24 장마감,하나금융지주,338295,123300,1.99,하나금융,금융,은행
2026.04.24 장마감,HD한국조선해양,336880,476000,3.25,HD현대,산업재,조선
2026.04.24 장마감,NAVER,335665,214000,-1.61,NAVER,커뮤니케이션서비스,플랫폼
2026.04.24 장마감,효성중공업,331208,3552000,8.69,효성,산업재,전력기기
2026.04.24 장마감,POSCO홀딩스,328852,415000,1.1,포스코,소재,철강
2026.04.24 장마감,삼성중공업,302720,34400,1.18,삼성,산업재,조선
2026.04.24 장마감,한국전력,296587,46200,0.0,한국전력,유틸리티,전력
2026.04.24 장마감,SK,288923,398500,0.5,SK,산업재,지주
2026.04.24 장마감,한미반도체,281648,295500,0.68,한미반도체,IT,반도체장비
2026.04.24 장마감,LG화학,276369,391500,0.0,LG,소재,화학
2026.04.24 장마감,우리금융지주,257294,35050,0.57,우리금융,금융,은행
2026.04.24 장마감,현대로템,254302,233000,-1.06,현대차,산업재,방산
2026.04.24 장마감,두산,249547,1541000,6.87,두산,산업재,지주
2026.04.24 장마감,한화시스템,246351,130400,0.23,한화,산업재,방산
2026.04.24 장마감,HD현대,227500,288000,2.86,HD현대,산업재,지주
2026.04.24 장마감,SK이노베이션,224671,132900,-0.23,SK,에너지,정유
2026.04.24 장마감,포스코퓨처엠,224144,252000,2.44,포스코,소재,배터리
2026.04.24 장마감,LIG디펜스앤에어로스페이스,217580,989000,2.38,,,
2026.04.24 장마감,SK텔레콤,214790,100000,1.21,SK,커뮤니케이션서비스,통신
2026.04.24 장마감,카카오,212862,48050,-0.72,카카오,커뮤니케이션서비스,플랫폼
2026.04.24 장마감,LG전자,207680,127500,-1.85,LG,자유소비재,가전
2026.04.24 장마감,삼성화재,203592,456000,-1.51,삼성,금융,보험
2026.04.24 장마감,KT&G,202060,176200,3.04,KT&G,필수소비재,기호품
2026.04.24 장마감,HMM,199023,21100,1.69,HMM,산업재,물류운송
2026.04.24 장마감,현대건설,192645,173000,-1.37,현대차,산업재,건설
2026.04.24 장마감,메리츠금융지주,191613,114500,-2.05,메리츠,금융,금융지주
2026.04.24 장마감,기업은행,178225,22350,0.22,IBK,금융,은행
2026.04.24 장마감,에이피알,168472,450000,3.21,에이피알,필수소비재,화장품
2026.04.24 장마감,한국항공우주,167072,171400,-6.08,KAI,산업재,방산
2026.04.24 장마감,현대글로비스,166875,222500,-3.26,현대차,산업재,물류운송
2026.04.24 장마감,KT,155497,61700,-0.48,KT,커뮤니케이션서비스,통신
2026.04.24 장마감,LG,148053,96000,-1.44,LG,산업재,지주
2026.04.24 장마감,한국금융지주,144330,259000,0.0,한국투자금융,금융,금융지주
2026.04.24 장마감,포스코인터내셔널,143025,81300,2.01,포스코,산업재,상사
2026.04.24 장마감,삼성에피스홀딩스,142829,574000,-2.21,삼성,산업재,지주
2026.04.24 장마감,대우건설,134778,32800,-1.35,중흥,산업재,건설
2026.04.24 장마감,S-Oil,134424,119400,-1.16,S-Oil,에너지,정유
2026.04.24 장마감,삼성에스디에스,131388,169800,-4.82,삼성,IT,IT서비스
2026.04.24 장마감,크래프톤,130130,274500,3.0,크래프톤,커뮤니케이션서비스,게임
2026.04.24 장마감,LG이노텍,128276,542000,8.4,LG,IT,전자부품
2026.04.24 장마감,NH투자증권,125077,35100,0.43,NH,금융,증권
2026.04.24 장마감,LS,124332,398500,6.55,LS,산업재,지주
2026.04.24 장마감,카카오뱅크,120711,25300,0.8,카카오,금융,은행
2026.04.24 장마감,키움증권,117822,449500,0.67,다우키움,금융,증권
2026.04.24 장마감,현대오토에버,117786,429500,-2.39,현대차,IT,IT서비스
2026.04.24 장마감,DB손해보험,114626,175000,0.86,DB,금융,보험
2026.04.24 장마감,HD현대마린솔루션,113653,253500,11.18,HD현대,산업재,조선
2026.04.24 장마감,이수페타시스,112610,153400,2.13,이수,IT,전자부품
2026.04.24 장마감,하이브,108618,252000,2.23,하이브,커뮤니케이션서비스,엔터테인먼트
2026.04.24 장마감,삼성E&A,102900,52500,4.37,삼성,산업재,건설
2026.04.24 장마감,삼성증권,99659,111600,-0.18,삼성,금융,증권
2026.04.24 장마감,삼양식품,99059,1315000,-2.16,삼양,필수소비재,식품
2026.04.24 장마감,한화,92436,131100,2.34,한화,산업재,지주
2026.04.24 장마감,대한항공,91503,24850,0.2,한진,산업재,물류운송
2026.04.24 장마감,한화솔루션,84829,49350,5.45,한화,소재,화학
2026.04.24 장마감,아모레퍼시픽,84171,143900,8.85,아모레퍼시픽,필수소비재,화장품
2026.04.24 장마감,SK바이오팜,80114,102300,-0.68,SK,헬스케어,바이오
2026.04.24 장마감,엘앤에프,80045,198500,4.97,엘앤에프,소재,배터리
2026.04.24 장마감,대한전선,79893,42850,4.9,호반,산업재,전력기기
2026.04.24 장마감,한국타이어앤테크놀로지,77670,62700,-2.34,한국앤컴퍼니,자유소비재,자동차
2026.04.24 장마감,한진칼,76243,114200,-1.04,한진,산업재,지주
2026.04.24 장마감,유한양행,75506,94800,0.11,유한,헬스케어,바이오
2026.04.24 장마감,카카오페이,74791,55300,-1.43,카카오,금융,핀테크
2026.04.24 장마감,한전기술,74453,194800,2.96,한국전력,산업재,전력기기
2026.04.24 장마감,두산밥캣,72851,76000,2.98,두산,산업재,건설기계
2026.04.24 장마감,OCI홀딩스,71694,384000,19.25,OCI,산업재,지주
2026.04.24 장마감,LG유플러스,71352,16600,-0.84,LG,커뮤니케이션서비스,통신
2026.04.24 장마감,GS,70337,75700,-1.43,GS,산업재,지주
2026.04.24 장마감,산일전기,67967,222000,4.96,산일전기,산업재,전력기기
2026.04.24 장마감,LG씨엔에스,64623,66700,-1.62,LG,IT,IT서비스
2026.04.24 장마감,LG디스플레이,63850,12770,-3.62,LG,IT,디스플레이
2026.04.24 장마감,한미약품,63735,497500,1.53,한미,헬스케어,바이오
2026.04.24 장마감,CJ,63606,218000,1.4,CJ,산업재,지주
2026.04.24 장마감,한화엔진,63420,76000,8.42,한화,산업재,조선
2026.04.24 장마감,삼성카드,62332,53800,-1.28,삼성,금융,카드
2026.04.24 장마감,두산로보틱스,60996,94100,2.17,두산,산업재,로봇산업
2026.04.24 장마감,코웨이,60789,85900,7.91,넷마블,자유소비재,생활가전/렌탈
