기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.01 장마감,삼성전자,11223634,189600,13.4,삼성,IT,반도체
2026.04.01 장마감,SK하이닉스,6364432,893000,10.66,SK,IT,반도체
2026.04.01 장마감,현대차,999218,488000,9.54,현대차,자유소비재,자동차
2026.04.01 장마감,LG에너지솔루션,952380,407000,3.17,LG,소재,배터리
2026.04.01 장마감,삼성바이오로직스,727694,1572000,4.52,삼성,헬스케어,바이오
2026.04.01 장마감,한화에어로스페이스,687340,1333000,6.73,한화,산업재,방산
2026.04.01 장마감,SK스퀘어,661756,501000,7.4,SK,산업재,지주
2026.04.01 장마감,두산에너빌리티,637999,99600,8.5,두산,산업재,전력기기
2026.04.01 장마감,기아,606311,155300,6.96,현대차,자유소비재,자동차
2026.04.01 장마감,KB금융,552937,148300,4.51,KB금융,금융,은행
2026.04.01 장마감,셀트리온,475959,206000,4.46,셀트리온,헬스케어,바이오
2026.04.01 장마감,HD현대중공업,473900,451500,-2.9,HD현대,산업재,조선
2026.04.01 장마감,삼성생명,454000,227000,7.84,삼성,금융,보험
2026.04.01 장마감,신한지주,442853,93300,6.39,신한금융,금융,은행
2026.04.01 장마감,삼성물산,442721,273000,7.69,삼성,산업재,상사
2026.04.01 장마감,한화오션,389145,127000,5.66,한화,산업재,조선
2026.04.01 장마감,현대모비스,371096,409000,8.2,현대차,자유소비재,자동차부품
2026.04.01 장마감,미래에셋증권,369841,66600,8.12,미래에셋,금융,증권
2026.04.01 장마감,삼성SDI,348129,432000,5.88,삼성,소재,배터리
2026.04.01 장마감,삼성전기,332013,444500,9.08,삼성,IT,전자부품
2026.04.01 장마감,NAVER,329391,210000,4.22,NAVER,커뮤니케이션서비스,플랫폼
2026.04.01 장마감,HD현대일렉트릭,325145,902000,8.41,HD현대,산업재,전력기기
2026.04.01 장마감,고려아연,316643,1517000,6.68,영풍,소재,금속소재
2026.04.01 장마감,하나금융지주,313952,112800,5.82,하나금융,금융,은행
2026.04.01 장마감,한국전력,280538,43700,4.92,한국전력,유틸리티,전력
2026.04.01 장마감,POSCO홀딩스,280028,346000,4.06,포스코,소재,철강
2026.04.01 장마감,HD한국조선해양,263630,372500,8.28,HD현대,산업재,조선
2026.04.01 장마감,한미반도체,260679,273500,8.96,한미반도체,IT,반도체장비
2026.04.01 장마감,효성중공업,247380,2653000,8.02,효성,산업재,전력기기
2026.04.01 장마감,한화시스템,243328,128800,12.88,한화,산업재,방산
2026.04.01 장마감,우리금융지주,241511,32900,2.65,우리금융,금융,은행
2026.04.01 장마감,LS ELECTRIC,238200,794000,10.58,LS,산업재,전력기기
2026.04.01 장마감,삼성중공업,237600,27000,10.43,삼성,산업재,조선
2026.04.01 장마감,SK,232734,321000,6.64,SK,산업재,지주
2026.04.01 장마감,LG화학,220601,312500,4.52,LG,소재,화학
2026.04.01 장마감,카카오,213635,48250,5.35,카카오,커뮤니케이션서비스,플랫폼
2026.04.01 장마감,삼성화재,208891,454000,3.06,삼성,금융,보험
2026.04.01 장마감,현대로템,206061,188800,11.39,현대차,산업재,방산
2026.04.01 장마감,메리츠금융지주,195534,115700,3.86,메리츠,금융,금융지주
2026.04.01 장마감,HD현대,195113,247000,3.35,HD현대,산업재,지주
2026.04.01 장마감,SK이노베이션,193565,114500,5.34,SK,에너지,정유
2026.04.01 장마감,HMM,191949,20350,3.99,HMM,산업재,물류운송
2026.04.01 장마감,포스코퓨처엠,188121,211500,3.93,포스코,소재,배터리
2026.04.01 장마감,KT&G,183483,160000,0.5,KT&G,필수소비재,기호품
2026.04.01 장마감,LG전자,183247,112500,6.53,LG,자유소비재,가전
2026.04.01 장마감,한국항공우주,183156,187900,14.09,KAI,산업재,방산
2026.04.01 장마감,두산,180561,1115000,8.67,두산,산업재,지주
2026.04.01 장마감,현대건설,178058,159900,12.53,현대차,산업재,건설
2026.04.01 장마감,기업은행,175434,22000,3.04,IBK,금융,은행
2026.04.01 장마감,LIG넥스원,174680,794000,29.95,LIG,산업재,방산
2026.04.01 장마감,SK텔레콤,168610,78500,2.75,SK,커뮤니케이션서비스,통신
2026.04.01 장마감,현대글로비스,164250,219000,5.54,현대차,산업재,물류운송
2026.04.01 장마감,KT,154741,61400,1.66,KT,커뮤니케이션서비스,통신
2026.04.01 장마감,LG,134481,87200,5.31,LG,산업재,지주
2026.04.01 장마감,포스코인터내셔널,133174,75700,5.87,포스코,산업재,상사
2026.04.01 장마감,삼성에피스홀딩스,129392,520000,5.26,삼성,산업재,지주
2026.04.01 장마감,에이피알,128974,344500,2.23,에이피알,필수소비재,화장품
2026.04.01 장마감,S-Oil,127331,113100,7.41,S-Oil,에너지,정유
2026.04.01 장마감,한국금융지주,124826,224000,10.62,한국투자금융,금융,금융지주
2026.04.01 장마감,하이브,124681,289500,-3.18,하이브,커뮤니케이션서비스,엔터테인먼트
2026.04.01 장마감,크래프톤,124204,262000,2.75,크래프톤,커뮤니케이션서비스,게임
2026.04.01 장마감,삼성에스디에스,120787,156100,4.0,삼성,IT,IT서비스
2026.04.01 장마감,카카오뱅크,117830,24700,3.13,카카오,금융,은행
2026.04.01 장마감,DB손해보험,116565,168000,2.56,DB,금융,보험
2026.04.01 장마감,키움증권,114676,437500,6.58,다우키움,금융,증권
2026.04.01 장마감,NH투자증권,113496,31850,7.6,NH,금융,증권
2026.04.01 장마감,현대오토에버,107228,391000,9.07,현대차,IT,IT서비스
2026.04.01 장마감,삼양식품,99134,1316000,9.67,삼양,필수소비재,식품
2026.04.01 장마감,대한항공,90950,24700,4.88,한진,산업재,물류운송
2026.04.01 장마감,삼성증권,87871,98400,6.49,삼성,금융,증권
2026.04.01 장마감,LS,86892,278500,8.79,LS,산업재,지주
2026.04.01 장마감,한화,85303,113800,6.26,한화,산업재,지주
2026.04.01 장마감,HD현대마린솔루션,84104,187600,4.45,HD현대,산업재,조선
2026.04.01 장마감,아모레퍼시픽,83411,142600,3.94,아모레퍼시픽,필수소비재,화장품
2026.04.01 장마감,LG이노텍,81178,343000,16.87,LG,IT,전자부품
2026.04.01 장마감,대우건설,80755,19430,24.95,중흥,산업재,건설
2026.04.01 장마감,이수페타시스,79796,108700,10.92,이수,IT,전자부품
2026.04.01 장마감,유한양행,79249,99500,4.96,유한,헬스케어,바이오
2026.04.01 장마감,한진칼,78112,117000,8.53,한진,산업재,지주
2026.04.01 장마감,SK바이오팜,77530,99000,4.43,SK,헬스케어,바이오
2026.04.01 장마감,삼성E&A,74284,37900,6.16,삼성,산업재,건설
2026.04.01 장마감,한미약품,70845,553000,7.38,한미,헬스케어,바이오
2026.04.01 장마감,한국타이어앤테크놀로지,69866,56400,4.25,한국앤컴퍼니,자유소비재,자동차
2026.04.01 장마감,카카오페이,68829,50900,4.2,카카오,금융,핀테크
2026.04.01 장마감,LG유플러스,67225,15640,0.71,LG,커뮤니케이션서비스,통신
2026.04.01 장마감,한화솔루션,64546,37550,1.08,한화,소재,화학
2026.04.01 장마감,한전기술,63942,167300,10.58,한국전력,산업재,전력기기
2026.04.01 장마감,GS,62439,67200,5.33,GS,산업재,지주
2026.04.01 장마감,삼성카드,61637,53200,0.19,삼성,금융,카드
2026.04.01 장마감,두산밥캣,60006,62600,10.02,두산,산업재,건설기계
2026.04.01 장마감,엘앤에프,59439,147400,2.43,엘앤에프,소재,배터리
2026.04.01 장마감,CJ,58646,201000,6.35,CJ,산업재,지주
2026.04.01 장마감,LG씨엔에스,57647,59500,6.63,LG,IT,IT서비스
2026.04.01 장마감,JB금융지주,57417,30500,2.69,JB금융,금융,은행
2026.04.01 장마감,LG디스플레이,57000,11400,5.07,LG,IT,디스플레이
2026.04.01 장마감,BNK금융지주,56573,18230,1.9,BNK,금융,은행
2026.04.01 장마감,대한전선,56027,30050,12.55,호반,산업재,전력기기
2026.04.01 장마감,두산로보틱스,54838,84600,6.42,두산,산업재,로봇산업
2026.04.01 장마감,오리온,52109,131800,2.97,오리온,필수소비재,식품
2026.04.01 장마감,에코프로머티,51226,72600,8.36,에코프로,소재,배터리
