기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.06 장마감,삼성전자,11430821,193100,3.71,삼성,IT,반도체
2026.04.06 장마감,SK하이닉스,6314543,886000,1.14,SK,IT,반도체
2026.04.06 장마감,LG에너지솔루션,965250,412500,3.51,LG,소재,배터리
2026.04.06 장마감,현대차,960314,469000,-0.42,현대차,자유소비재,자동차
2026.04.06 장마감,한화에어로스페이스,747669,1450000,0.07,한화,산업재,방산
2026.04.06 장마감,삼성바이오로직스,719824,1555000,0.06,삼성,헬스케어,바이오
2026.04.06 장마감,SK스퀘어,643264,487000,0.83,SK,산업재,지주
2026.04.06 장마감,두산에너빌리티,613017,95700,-0.93,두산,산업재,전력기기
2026.04.06 장마감,기아,591866,151600,0.93,현대차,자유소비재,자동차
2026.04.06 장마감,KB금융,551446,147900,1.65,KB금융,금융,은행
2026.04.06 장마감,HD현대중공업,494367,471000,-1.77,HD현대,산업재,조선
2026.04.06 장마감,셀트리온,452392,195800,0.26,셀트리온,헬스케어,바이오
2026.04.06 장마감,삼성생명,452000,226000,2.26,삼성,금융,보험
2026.04.06 장마감,신한지주,440954,92900,1.2,신한금융,금융,은행
2026.04.06 장마감,삼성물산,437045,269500,2.47,삼성,산업재,상사
2026.04.06 장마감,한화오션,373824,122000,-4.69,한화,산업재,조선
2026.04.06 장마감,삼성SDI,365455,453500,3.42,삼성,소재,배터리
2026.04.06 장마감,현대모비스,352496,388500,0.0,현대차,자유소비재,자동차부품
2026.04.06 장마감,미래에셋증권,350960,63200,0.16,미래에셋,금융,증권
2026.04.06 장마감,삼성전기,345085,462000,1.32,삼성,IT,전자부품
2026.04.06 장마감,HD현대일렉트릭,322261,894000,1.25,HD현대,산업재,전력기기
2026.04.06 장마감,하나금융지주,312838,112400,2.46,하나금융,금융,은행
2026.04.06 장마감,고려아연,309129,1481000,-0.2,영풍,소재,금속소재
2026.04.06 장마감,NAVER,308686,196800,-0.35,NAVER,커뮤니케이션서비스,플랫폼
2026.04.06 장마감,POSCO홀딩스,282456,349000,0.43,포스코,소재,철강
2026.04.06 장마감,HD한국조선해양,262922,371500,-0.93,HD현대,산업재,조선
2026.04.06 장마감,한국전력,258391,40250,-0.12,한국전력,유틸리티,전력
