기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.06.19 장마감,삼성전자,20695826,354000,-2.34,삼성,IT,반도체
2026.06.19 장마감,SK하이닉스,19699093,2764000,2.94,SK,IT,반도체
2026.06.19 장마감,SK스퀘어,2348859,1780000,4.71,SK,산업재,지주
2026.06.19 장마감,삼성전기,1695547,2270000,3.18,삼성,IT,전자부품
2026.06.19 장마감,현대차,1255165,613000,2.0,현대차,자유소비재,자동차
2026.06.19 장마감,삼성생명,994000,497000,5.97,삼성,금융,보험
2026.06.19 장마감,LG에너지솔루션,946530,404500,1.13,LG,소재,배터리
2026.06.19 장마감,삼성물산,797054,491500,1.24,삼성,산업재,상사
2026.06.19 장마감,HD현대중공업,700091,667000,-2.49,HD현대,산업재,조선
2026.06.19 장마감,삼성바이오로직스,636038,1374000,-3.92,삼성,헬스케어,바이오
2026.06.19 장마감,두산에너빌리티,627109,97900,-1.71,두산,산업재,전력기기
2026.06.19 장마감,기아,604750,154900,-2.46,현대차,자유소비재,자동차
2026.06.19 장마감,한화에어로스페이스,578541,1122000,-5.63,한화,산업재,방산
2026.06.19 장마감,KB금융,561471,158300,-2.94,KB금융,금융,은행
2026.06.19 장마감,현대모비스,555283,612000,1.49,현대차,자유소비재,자동차부품
2026.06.19 장마감,SK,524920,724000,5.39,SK,산업재,지주
2026.06.19 장마감,신한지주,478926,100900,0.1,신한금융,금융,은행
2026.06.19 장마감,삼성SDI,447250,555000,6.32,삼성,소재,배터리
2026.06.19 장마감,한화오션,393435,128400,2.64,한화,산업재,조선
2026.06.19 장마감,HD현대일렉트릭,388588,1078000,-0.83,HD현대,산업재,전력기기
2026.06.19 장마감,LS ELECTRIC,388500,259000,7.02,LS,산업재,전력기기
2026.06.19 장마감,셀트리온,377442,170300,-1.9,셀트리온,헬스케어,바이오
2026.06.19 장마감,NAVER,360057,229500,-2.34,NAVER,커뮤니케이션서비스,플랫폼
2026.06.19 장마감,효성중공업,359461,3855000,4.39,효성,산업재,전력기기
2026.06.19 장마감,LG전자,344501,211500,-7.44,LG,자유소비재,가전
2026.06.19 장마감,하나금융지주,338844,123500,-2.06,하나금융,금융,은행
2026.06.19 장마감,삼성화재,312532,700000,0.0,삼성,금융,보험
2026.06.19 장마감,HD한국조선해양,296539,419000,-0.48,HD현대,산업재,조선
2026.06.19 장마감,POSCO홀딩스,282496,356500,-2.86,포스코,소재,철강
2026.06.19 장마감,한미반도체,281171,295000,-6.5,한미반도체,IT,반도체장비
2026.06.19 장마감,미래에셋증권,272789,48750,-3.85,미래에셋,금융,증권
2026.06.19 장마감,LG이노텍,270988,1145000,-10.76,LG,IT,전자부품
2026.06.19 장마감,두산,264121,1631000,-0.18,두산,산업재,지주
2026.06.19 장마감,고려아연,248806,1192000,-1.41,영풍,소재,금속소재
2026.06.19 장마감,한국전력,243304,37900,-3.68,한국전력,유틸리티,전력
2026.06.19 장마감,삼성중공업,242440,27550,-0.54,삼성,산업재,조선
