기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.05.28 장마감,삼성전자,17509604,299500,-2.44,삼성,IT,반도체
2026.05.28 장마감,SK하이닉스,16313757,2289000,2.05,SK,IT,반도체
2026.05.28 장마감,SK스퀘어,1632325,1237000,-3.06,SK,산업재,지주
2026.05.28 장마감,현대차,1386210,677000,-0.59,현대차,자유소비재,자동차
2026.05.28 장마감,삼성전기,1381086,1849000,13.44,삼성,IT,전자부품
2026.05.28 장마감,LG에너지솔루션,1034280,442000,15.25,LG,소재,배터리
2026.05.28 장마감,HD현대중공업,738927,704000,-5.38,HD현대,산업재,조선
2026.05.28 장마감,삼성생명,715000,357500,0.85,삼성,금융,보험
2026.05.28 장마감,두산에너빌리티,678354,105900,-2.4,두산,산업재,전력기기
2026.05.28 장마감,삼성물산,647859,399500,-2.68,삼성,산업재,상사
2026.05.28 장마감,기아,641449,164300,-0.24,현대차,자유소비재,자동차
2026.05.28 장마감,삼성바이오로직스,635575,1373000,-0.79,삼성,헬스케어,바이오
2026.05.28 장마감,현대모비스,622426,686000,-0.29,현대차,자유소비재,자동차부품
2026.05.28 장마감,한화에어로스페이스,618761,1200000,-3.54,한화,산업재,방산
2026.05.28 장마감,KB금융,558157,149700,-2.67,KB금융,금융,은행
2026.05.28 장마감,삼성SDI,544758,676000,7.3,삼성,소재,배터리
2026.05.28 장마감,SK,481418,664000,-2.35,SK,산업재,지주
2026.05.28 장마감,신한지주,440479,92800,-2.32,신한금융,금융,은행
2026.05.28 장마감,셀트리온,422032,190000,-2.31,셀트리온,헬스케어,바이오
2026.05.28 장마감,한화오션,380565,124200,-7.93,한화,산업재,조선
2026.05.28 장마감,HD현대일렉트릭,377414,1047000,-4.3,HD현대,산업재,전력기기
2026.05.28 장마감,LS ELECTRIC,369750,246500,-5.74,LS,산업재,전력기기
2026.05.28 장마감,LG전자,367305,225500,-4.04,LG,자유소비재,가전
2026.05.28 장마감,미래에셋증권,346931,62000,-3.88,미래에셋,금융,증권
2026.05.28 장마감,효성중공업,340626,3653000,-0.76,효성,산업재,전력기기
2026.05.28 장마감,POSCO홀딩스,332814,420000,-0.83,포스코,소재,철강
2026.05.28 장마감,NAVER,321591,205000,3.12,NAVER,커뮤니케이션서비스,플랫폼
2026.05.28 장마감,하나금융지주,316346,115300,-2.62,하나금융,금융,은행
2026.05.28 장마감,HD한국조선해양,293708,415000,-5.79,HD현대,산업재,조선
2026.05.28 장마감,고려아연,284916,1365000,-2.22,영풍,소재,금속소재
2026.05.28 장마감,한미반도체,278788,292500,-8.31,한미반도체,IT,반도체장비
2026.05.28 장마감,두산,268818,1660000,-3.21,두산,산업재,지주
2026.05.28 장마감,LG이노텍,268385,1134000,8.62,LG,IT,전자부품
2026.05.28 장마감,한국전력,250687,39050,-1.14,한국전력,유틸리티,전력
2026.05.28 장마감,삼성화재,250026,560000,-2.95,삼성,금융,보험
2026.05.28 장마감,삼성중공업,249920,28400,-3.57,삼성,산업재,조선
2026.05.28 장마감,LG화학,243191,344500,4.08,LG,소재,화학
2026.05.28 장마감,현대로템,224833,206000,-0.48,현대차,산업재,방산
2026.05.28 장마감,우리금융지주,220590,30050,-1.96,우리금융,금융,은행
2026.05.28 장마감,HD현대,217626,275500,-3.5,HD현대,산업재,지주
2026.05.28 장마감,포스코퓨처엠,211692,238000,3.93,포스코,소재,배터리
2026.05.28 장마감,SK텔레콤,208132,96900,-3.49,SK,커뮤니케이션서비스,통신
2026.05.28 장마감,현대오토에버,204583,746000,-2.48,현대차,IT,IT서비스
2026.05.28 장마감,한화시스템,200066,105900,-3.38,한화,산업재,방산
2026.05.28 장마감,SK이노베이션,197792,117000,1.39,SK,에너지,정유
2026.05.28 장마감,삼성에스디에스,192284,248500,-4.97,삼성,IT,IT서비스
2026.05.28 장마감,KT&G,190700,183700,2.23,KT&G,필수소비재,기호품
2026.05.28 장마감,LIG디펜스앤에어로스페이스,188320,856000,-2.17,,,
2026.05.28 장마감,HMM,184969,19610,-0.66,HMM,산업재,물류운송
2026.05.28 장마감,LG,178589,115800,-2.03,LG,산업재,지주
2026.05.28 장마감,카카오,177118,40100,-0.99,카카오,커뮤니케이션서비스,플랫폼
2026.05.28 장마감,현대글로비스,174750,233000,1.53,현대차,산업재,물류운송
2026.05.28 장마감,메리츠금융지주,172368,103000,-1.62,메리츠,금융,금융지주
2026.05.28 장마감,한국항공우주,163661,167900,1.33,KAI,산업재,방산
2026.05.28 장마감,기업은행,163074,20450,-0.24,IBK,금융,은행
2026.05.28 장마감,현대건설,157457,141400,-1.53,현대차,산업재,건설
2026.05.28 장마감,에이피알,149940,400500,4.03,에이피알,필수소비재,화장품
2026.05.28 장마감,LS,148356,475500,-6.4,LS,산업재,지주
2026.05.28 장마감,한국금융지주,132906,238500,-2.45,한국투자금융,금융,금융지주
2026.05.28 장마감,KT,130799,51900,-2.81,KT,커뮤니케이션서비스,통신
2026.05.28 장마감,S-Oil,120464,107000,-1.02,S-Oil,에너지,정유
