기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.03 14:13 장중,삼성전자,11010527,186000,4.26,삼성,IT,반도체
2026.04.03 14:13 장중,SK하이닉스,6293162,883000,6.39,SK,IT,반도체
2026.04.03 14:13 장중,현대차,963385,470500,1.07,현대차,자유소비재,자동차
2026.04.03 14:13 장중,LG에너지솔루션,931320,398000,-1.61,LG,소재,배터리
2026.04.03 14:13 장중,한화에어로스페이스,753857,1462000,3.18,한화,산업재,방산
2026.04.03 14:13 장중,삼성바이오로직스,723065,1562000,-1.45,삼성,헬스케어,바이오
2026.04.03 14:13 장중,SK스퀘어,633358,479500,2.13,SK,산업재,지주
2026.04.03 14:13 장중,두산에너빌리티,620704,96900,3.53,두산,산업재,전력기기
2026.04.03 14:13 장중,기아,590304,151200,0.4,현대차,자유소비재,자동차
2026.04.03 14:13 장중,KB금융,543057,145650,-0.58,KB금융,금융,은행
2026.04.03 14:13 장중,HD현대중공업,502764,479000,9.11,HD현대,산업재,조선
2026.04.03 14:13 장중,셀트리온,452392,195800,-0.46,셀트리온,헬스케어,바이오
2026.04.03 14:13 장중,삼성생명,443000,221500,2.07,삼성,금융,보험
2026.04.03 14:13 장중,신한지주,436207,91900,0.22,신한금융,금융,은행
2026.04.03 14:13 장중,삼성물산,428126,264000,0.0,삼성,산업재,상사
2026.04.03 14:13 장중,한화오션,388839,126900,6.37,한화,산업재,조선
2026.04.03 14:13 장중,현대모비스,356125,392500,0.77,현대차,자유소비재,자동차부품
2026.04.03 14:13 장중,삼성SDI,353368,438500,-1.02,삼성,소재,배터리
2026.04.03 14:13 장중,미래에셋증권,351515,63300,2.76,미래에셋,금융,증권
2026.04.03 14:13 장중,삼성전기,340230,455500,9.23,삼성,IT,전자부품
2026.04.03 14:13 장중,HD현대일렉트릭,318296,883000,0.11,HD현대,산업재,전력기기
2026.04.03 14:13 장중,NAVER,311196,198400,1.33,NAVER,커뮤니케이션서비스,플랫폼
2026.04.03 14:13 장중,고려아연,310172,1486000,1.23,영풍,소재,금속소재
2026.04.03 14:13 장중,하나금융지주,307828,110600,0.18,하나금융,금융,은행
2026.04.03 14:13 장중,POSCO홀딩스,283265,350000,2.64,포스코,소재,철강
2026.04.03 14:13 장중,HD한국조선해양,266107,376000,7.28,HD현대,산업재,조선
2026.04.03 14:13 장중,한국전력,258712,40300,-2.3,한국전력,유틸리티,전력
2026.04.03 14:13 장중,한화시스템,255230,135100,4.57,한화,산업재,방산
2026.04.03 14:13 장중,한미반도체,246382,258500,0.98,한미반도체,IT,반도체장비
2026.04.03 14:13 장중,삼성중공업,244640,27800,3.35,삼성,산업재,조선
2026.04.03 14:13 장중,효성중공업,240200,2576000,2.3,효성,산업재,전력기기
2026.04.03 14:13 장중,우리금융지주,235822,32125,-0.23,우리금융,금융,은행
2026.04.03 14:13 장중,LS ELECTRIC,230400,768000,1.19,LS,산업재,전력기기
2026.04.03 14:13 장중,SK,228021,314500,2.11,SK,산업재,지주
2026.04.03 14:13 장중,현대로템,227016,208000,3.23,현대차,산업재,방산
2026.04.03 14:13 장중,LG화학,214248,303500,0.5,LG,소재,화학
2026.04.03 14:13 장중,삼성화재,204290,444000,0.0,삼성,금융,보험
