기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.08.25 장마감,삼성전자,15024936,257000,0.0,삼성,IT,반도체
2026.08.25 장마감,SK하이닉스,12257662,1678000,0.42,SK,IT,반도체
2026.08.25 장마감,SK스퀘어,1398394,1060000,-1.49,SK,산업재,지주
2026.08.25 장마감,삼성전기,1017328,1362000,3.34,삼성,IT,전자부품
2026.08.25 장마감,현대차,862030,421000,1.69,현대차,자유소비재,자동차
2026.08.25 장마감,LG에너지솔루션,817830,349500,-3.45,LG,소재,배터리
2026.08.25 장마감,삼성바이오로직스,733712,1585000,0.76,삼성,헬스케어,바이오
2026.08.25 장마감,삼성물산,595155,367000,0.69,삼성,산업재,상사
2026.08.25 장마감,KB금융,590200,166400,2.02,KB금융,금융,은행
2026.08.25 장마감,삼성생명,570000,285000,-0.18,삼성,금융,보험
2026.08.25 장마감,한화에어로스페이스,568229,1102000,-0.27,한화,산업재,방산
2026.08.25 장마감,기아,526667,134900,2.59,현대차,자유소비재,자동차
2026.08.25 장마감,두산에너빌리티,516933,80700,10.55,두산,산업재,전력기기
2026.08.25 장마감,신한지주,499964,106500,3.1,신한금융,금융,은행
2026.08.25 장마감,HD현대중공업,487545,464500,1.98,HD현대,산업재,조선
2026.08.25 장마감,현대모비스,451848,498000,-0.1,현대차,자유소비재,자동차부품
2026.08.25 장마감,셀트리온,441042,189600,-2.27,셀트리온,헬스케어,바이오
2026.08.25 장마감,삼성SDI,418239,519000,0.78,삼성,소재,배터리
2026.08.25 장마감,SK,403115,556000,1.28,SK,산업재,지주
2026.08.25 장마감,하나금융지주,358873,130800,1.63,하나금융,금융,은행
2026.08.25 장마감,NAVER,335329,220500,-1.34,NAVER,커뮤니케이션서비스,플랫폼
2026.08.25 장마감,LG전자,326584,200500,0.35,LG,자유소비재,가전
2026.08.25 장마감,고려아연,297857,1427000,6.18,영풍,소재,금속소재
2026.08.25 장마감,LS ELECTRIC,293100,195400,1.61,LS,산업재,전력기기
2026.08.25 장마감,삼성화재,289316,648000,1.89,삼성,금융,보험
2026.08.25 장마감,한화오션,265354,86600,3.84,한화,산업재,조선
2026.08.25 장마감,POSCO홀딩스,263082,332000,1.37,포스코,소재,철강
2026.08.25 장마감,HD현대일렉트릭,259179,719000,-0.14,HD현대,산업재,전력기기
2026.08.25 장마감,효성중공업,256891,2755000,-1.33,효성,산업재,전력기기
2026.08.25 장마감,HD한국조선해양,256553,362500,2.55,HD현대,산업재,조선
2026.08.25 장마감,우리금융지주,237357,32600,2.03,우리금융,금융,은행
2026.08.25 장마감,HMM,213643,22650,-0.88,HMM,산업재,물류운송
2026.08.25 장마감,SK텔레콤,212427,98900,-3.32,SK,커뮤니케이션서비스,통신
2026.08.25 장마감,SK이노베이션,211316,125000,-3.92,SK,에너지,정유
2026.08.25 장마감,한국전력,209922,32700,3.81,한국전력,유틸리티,전력
2026.08.25 장마감,한미반도체,207304,217500,4.07,한미반도체,IT,반도체장비
2026.08.25 장마감,메리츠금융지주,202156,120800,4.68,메리츠,금융,금융지주
2026.08.25 장마감,미래에셋증권,194402,35800,3.02,미래에셋,금융,증권
2026.08.25 장마감,LG화학,185658,263000,-3.66,LG,소재,화학
2026.08.25 장마감,KT&G,182084,175400,1.27,KT&G,필수소비재,기호품
2026.08.25 장마감,삼성중공업,179960,20450,1.74,삼성,산업재,조선
2026.08.25 장마감,두산,178294,1101000,1.47,두산,산업재,지주
2026.08.25 장마감,삼성에스디에스,175648,227000,-0.44,삼성,IT,IT서비스
2026.08.25 장마감,LG,170242,112600,-0.79,LG,산업재,지주
2026.08.25 장마감,HD현대,170230,215500,1.65,HD현대,산업재,지주
