기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.03.31 13:12 장중,삼성전자,10004188,169000,-4.14,삼성,IT,반도체
2026.03.31 13:12 장중,SK하이닉스,5829905,818000,-6.3,SK,IT,반도체
2026.03.31 13:12 장중,LG에너지솔루션,934830,399500,-2.56,LG,소재,배터리
2026.03.31 13:12 장중,현대차,919874,449250,-4.31,현대차,자유소비재,자동차
2026.03.31 13:12 장중,삼성바이오로직스,712418,1539000,0.59,삼성,헬스케어,바이오
2026.03.31 13:12 장중,한화에어로스페이스,637839,1237000,-5.43,한화,산업재,방산
2026.03.31 13:12 장중,SK스퀘어,621470,470500,-7.75,SK,산업재,지주
2026.03.31 13:12 장중,두산에너빌리티,593480,92650,-1.65,두산,산업재,전력기기
2026.03.31 13:12 장중,기아,569613,145900,-3.7,현대차,자유소비재,자동차
2026.03.31 13:12 장중,KB금융,535040,143500,-1.64,KB금융,금융,은행
2026.03.31 13:12 장중,HD현대중공업,494367,471000,-1.87,HD현대,산업재,조선
2026.03.31 13:12 장중,셀트리온,459324,198800,-1.34,셀트리온,헬스케어,바이오
2026.03.31 13:12 장중,삼성생명,424000,212000,-3.42,삼성,금융,보험
2026.03.31 13:12 장중,신한지주,420544,88600,-2.1,신한금융,금융,은행
2026.03.31 13:12 장중,삼성물산,409477,252500,-2.7,삼성,산업재,상사
2026.03.31 13:12 장중,한화오션,369841,120700,2.12,한화,산업재,조선
2026.03.31 13:12 장중,현대모비스,345237,380500,-4.4,현대차,자유소비재,자동차부품
2026.03.31 13:12 장중,미래에셋증권,342075,61600,-1.75,미래에셋,금융,증권
2026.03.31 13:12 장중,삼성SDI,333020,413250,0.18,삼성,소재,배터리
2026.03.31 13:12 장중,NAVER,315274,201000,-2.9,NAVER,커뮤니케이션서비스,플랫폼
2026.03.31 13:12 장중,삼성전기,305871,409500,-4.55,삼성,IT,전자부품
2026.03.31 13:12 장중,HD현대일렉트릭,302075,838000,-3.9,HD현대,산업재,전력기기
2026.03.31 13:12 장중,하나금융지주,298644,107300,0.09,하나금융,금융,은행
2026.03.31 13:12 장중,고려아연,296396,1420000,-3.92,영풍,소재,금속소재
2026.03.31 13:12 장중,POSCO홀딩스,271935,336000,-2.04,포스코,소재,철강
2026.03.31 13:12 장중,한국전력,271230,42250,0.12,한국전력,유틸리티,전력
2026.03.31 13:12 장중,한미반도체,243999,256000,-1.73,한미반도체,IT,반도체장비
2026.03.31 13:12 장중,HD한국조선해양,243460,344000,-0.86,HD현대,산업재,조선
2026.03.31 13:12 장중,우리금융지주,236740,32250,-0.62,우리금융,금융,은행
2026.03.31 13:12 장중,효성중공업,231902,2487000,-0.64,효성,산업재,전력기기
2026.03.31 13:12 장중,SK,219683,303000,-6.63,SK,산업재,지주
2026.03.31 13:12 장중,LS ELECTRIC,218100,727000,-6.19,LS,산업재,전력기기
2026.03.31 13:12 장중,한화시스템,217446,115100,-4.64,한화,산업재,방산
2026.03.31 13:12 장중,삼성중공업,215600,24500,0.0,삼성,산업재,조선
2026.03.31 13:12 장중,LG화학,213542,302500,-6.06,LG,소재,화학
2026.03.31 13:12 장중,삼성화재,204520,444500,-0.22,삼성,금융,보험
2026.03.31 13:12 장중,카카오,203894,46050,-2.23,카카오,커뮤니케이션서비스,플랫폼
2026.03.31 13:12 장중,HD현대,189188,239500,-2.64,HD현대,산업재,지주
2026.03.31 13:12 장중,메리츠금융지주,189112,111900,-1.76,메리츠,금융,금융지주
2026.03.31 13:12 장중,SK이노베이션,186972,110600,-2.47,SK,에너지,정유
2026.03.31 13:12 장중,현대로템,186524,170900,-5.06,현대차,산업재,방산
