기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.07 09:34 장중,삼성전자,11806718,199450,3.29,삼성,IT,반도체
2026.04.07 09:34 장중,SK하이닉스,6599624,926000,4.51,SK,IT,반도체
2026.04.07 09:34 장중,LG에너지솔루션,982800,420000,1.82,LG,소재,배터리
2026.04.07 09:34 장중,현대차,977718,477500,1.81,현대차,자유소비재,자동차
2026.04.07 09:34 장중,한화에어로스페이스,749216,1453000,0.21,한화,산업재,방산
2026.04.07 09:34 장중,삼성바이오로직스,734174,1586000,1.99,삼성,헬스케어,바이오
2026.04.07 09:34 장중,SK스퀘어,674965,511000,4.93,SK,산업재,지주
2026.04.07 09:34 장중,두산에너빌리티,623907,97400,1.78,두산,산업재,전력기기
2026.04.07 09:34 장중,기아,595380,152500,0.59,현대차,자유소비재,자동차
2026.04.07 09:34 장중,KB금융,564123,151300,2.3,KB금융,금융,은행
2026.04.07 09:34 장중,HD현대중공업,505388,481500,2.23,HD현대,산업재,조선
2026.04.07 09:34 장중,삼성물산,455695,281000,4.27,삼성,산업재,상사
2026.04.07 09:34 장중,셀트리온,454703,196800,0.51,셀트리온,헬스케어,바이오
2026.04.07 09:34 장중,삼성생명,454000,227000,0.44,삼성,금융,보험
2026.04.07 09:34 장중,신한지주,446650,94100,1.29,신한금융,금융,은행
2026.04.07 09:34 장중,한화오션,378574,123550,1.27,한화,산업재,조선
2026.04.07 09:34 장중,삼성SDI,374320,464500,2.43,삼성,소재,배터리
2026.04.07 09:34 장중,미래에셋증권,355402,64000,1.27,미래에셋,금융,증권
2026.04.07 09:34 장중,현대모비스,353403,389500,0.26,현대차,자유소비재,자동차부품
2026.04.07 09:34 장중,삼성전기,350313,469000,1.52,삼성,IT,전자부품
2026.04.07 09:34 장중,HD현대일렉트릭,328750,912000,2.01,HD현대,산업재,전력기기
2026.04.07 09:34 장중,하나금융지주,319240,114700,2.05,하나금융,금융,은행
2026.04.07 09:34 장중,NAVER,315274,201000,2.13,NAVER,커뮤니케이션서비스,플랫폼
2026.04.07 09:34 장중,고려아연,310381,1487000,0.41,영풍,소재,금속소재
2026.04.07 09:34 장중,POSCO홀딩스,285289,352500,1.0,포스코,소재,철강
2026.04.07 09:34 장중,HD한국조선해양,271061,383000,3.1,HD현대,산업재,조선
2026.04.07 09:34 장중,한국전력,262884,40950,1.74,한국전력,유틸리티,전력
2026.04.07 09:34 장중,효성중공업,250084,2682000,1.86,효성,산업재,전력기기
2026.04.07 09:34 장중,한화시스템,245973,130200,2.04,한화,산업재,방산
2026.04.07 09:34 장중,한미반도체,244476,256500,1.79,한미반도체,IT,반도체장비
2026.04.07 09:34 장중,LS ELECTRIC,241200,804000,0.63,LS,산업재,전력기기
2026.04.07 09:34 장중,삼성중공업,241120,27400,1.48,삼성,산업재,조선
2026.04.07 09:34 장중,우리금융지주,240777,32800,1.23,우리금융,금융,은행
2026.04.07 09:34 장중,SK,233096,321500,2.39,SK,산업재,지주
2026.04.07 09:34 장중,현대로템,229199,210000,-0.47,현대차,산업재,방산
2026.04.07 09:34 장중,LG화학,228366,323500,2.05,LG,소재,화학
2026.04.07 09:34 장중,SK이노베이션,213345,126200,2.44,SK,에너지,정유
2026.04.07 09:34 장중,카카오,208210,47000,4.79,카카오,커뮤니케이션서비스,플랫폼
