기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.02 장마감,삼성전자,10560634,178400,-5.91,삼성,IT,반도체
2026.04.02 장마감,SK하이닉스,5915430,830000,-7.05,SK,IT,반도체
2026.04.02 장마감,현대차,953147,465500,-4.61,현대차,자유소비재,자동차
2026.04.02 장마감,LG에너지솔루션,946530,404500,-0.61,LG,소재,배터리
2026.04.02 장마감,삼성바이오로직스,733712,1585000,0.83,삼성,헬스케어,바이오
2026.04.02 장마감,한화에어로스페이스,730653,1417000,6.3,한화,산업재,방산
2026.04.02 장마감,SK스퀘어,620149,469500,-6.29,SK,산업재,지주
2026.04.02 장마감,두산에너빌리티,599565,93600,-6.02,두산,산업재,전력기기
2026.04.02 장마감,기아,587962,150600,-3.03,현대차,자유소비재,자동차
2026.04.02 장마감,KB금융,546226,146500,-1.21,KB금융,금융,은행
2026.04.02 장마감,HD현대중공업,460780,439000,-2.77,HD현대,산업재,조선
2026.04.02 장마감,셀트리온,454472,196700,-4.51,셀트리온,헬스케어,바이오
2026.04.02 장마감,신한지주,435258,91700,-1.71,신한금융,금융,은행
2026.04.02 장마감,삼성생명,434000,217000,-4.41,삼성,금융,보험
2026.04.02 장마감,삼성물산,428126,264000,-3.3,삼성,산업재,상사
2026.04.02 장마감,한화오션,365551,119300,-6.06,한화,산업재,조선
2026.04.02 장마감,삼성SDI,356994,443000,2.55,삼성,소재,배터리
2026.04.02 장마감,현대모비스,353403,389500,-4.77,현대차,자유소비재,자동차부품
2026.04.02 장마감,미래에셋증권,342075,61600,-7.51,미래에셋,금융,증권
2026.04.02 장마감,HD현대일렉트릭,317936,882000,-2.22,HD현대,산업재,전력기기
2026.04.02 장마감,삼성전기,311473,417000,-6.19,삼성,IT,전자부품
2026.04.02 장마감,하나금융지주,307272,110400,-2.13,하나금융,금융,은행
2026.04.02 장마감,NAVER,307117,195800,-6.76,NAVER,커뮤니케이션서비스,플랫폼
2026.04.02 장마감,고려아연,306415,1468000,-3.23,영풍,소재,금속소재
2026.04.02 장마감,POSCO홀딩스,275981,341000,-1.45,포스코,소재,철강
2026.04.02 장마감,한국전력,264810,41250,-5.61,한국전력,유틸리티,전력
2026.04.02 장마감,HD한국조선해양,248060,350500,-5.91,HD현대,산업재,조선
2026.04.02 장마감,한화시스템,244084,129200,0.31,한화,산업재,방산
2026.04.02 장마감,한미반도체,243999,256000,-6.4,한미반도체,IT,반도체장비
2026.04.02 장마감,삼성중공업,236720,26900,-0.37,삼성,산업재,조선
2026.04.02 장마감,우리금융지주,236373,32200,-2.13,우리금융,금융,은행
2026.04.02 장마감,효성중공업,234792,2518000,-5.09,효성,산업재,전력기기
2026.04.02 장마감,LS ELECTRIC,227700,759000,-4.41,LS,산업재,전력기기
2026.04.02 장마감,SK,223308,308000,-4.05,SK,산업재,지주
2026.04.02 장마감,현대로템,219922,201500,6.73,현대차,산업재,방산
2026.04.02 장마감,LG화학,213189,302000,-3.36,LG,소재,화학
2026.04.02 장마감,삼성화재,204290,444000,-2.2,삼성,금융,보험
2026.04.02 장마감,카카오,201016,45400,-5.91,카카오,커뮤니케이션서비스,플랫폼
2026.04.02 장마감,SK이노베이션,195256,115500,0.87,SK,에너지,정유
2026.04.02 장마감,HD현대,191163,242000,-2.02,HD현대,산업재,지주
2026.04.02 장마감,HMM,190062,20150,-0.98,HMM,산업재,물류운송
2026.04.02 장마감,포스코퓨처엠,189455,213000,0.71,포스코,소재,배터리
2026.04.02 장마감,메리츠금융지주,188774,111700,-3.46,메리츠,금융,금융지주
2026.04.02 장마감,한국항공우주,179549,184200,-1.97,KAI,산업재,방산
2026.04.02 장마감,KT&G,177290,154600,-3.37,KT&G,필수소비재,기호품
2026.04.02 장마감,LG전자,177220,108800,-3.29,LG,자유소비재,가전
2026.04.02 장마감,기업은행,172643,21650,-1.59,IBK,금융,은행
