기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.08.14 장마감,삼성전자,16048035,274500,2.43,삼성,IT,반도체
2026.08.14 장마감,SK하이닉스,12016599,1645000,3.26,SK,IT,반도체
2026.08.14 장마감,SK스퀘어,1522800,1154000,3.31,SK,산업재,지주
2026.08.14 장마감,삼성전기,1163728,1558000,3.66,삼성,IT,전자부품
2026.08.14 장마감,현대차,927553,453000,8.24,현대차,자유소비재,자동차
2026.08.14 장마감,LG에너지솔루션,864630,369500,1.09,LG,소재,배터리
2026.08.14 장마감,삼성바이오로직스,716584,1548000,-1.02,삼성,헬스케어,바이오
2026.08.14 장마감,삼성생명,602000,301000,3.26,삼성,금융,보험
2026.08.14 장마감,삼성물산,598398,369000,1.1,삼성,산업재,상사
2026.08.14 장마감,한화에어로스페이스,598135,1160000,-2.11,한화,산업재,방산
2026.08.14 장마감,KB금융,597649,168500,0.24,KB금융,금융,은행
2026.08.14 장마감,기아,553215,141700,3.13,현대차,자유소비재,자동차
2026.08.14 장마감,HD현대중공업,535302,510000,2.82,HD현대,산업재,조선
2026.08.14 장마감,두산에너빌리티,529104,82600,2.1,두산,산업재,전력기기
2026.08.14 장마감,신한지주,504190,107400,0.75,신한금융,금융,은행
2026.08.14 장마감,현대모비스,496307,547000,7.05,현대차,자유소비재,자동차부품
2026.08.14 장마감,셀트리온,467561,201000,-0.5,셀트리온,헬스케어,바이오
2026.08.14 장마감,SK,424141,585000,5.79,SK,산업재,지주
2026.08.14 장마감,삼성SDI,415821,516000,5.95,삼성,소재,배터리
2026.08.14 장마감,하나금융지주,364909,133000,1.53,하나금융,금융,은행
2026.08.14 장마감,NAVER,357909,228000,0.66,NAVER,커뮤니케이션서비스,플랫폼
2026.08.14 장마감,LG전자,350202,215000,4.12,LG,자유소비재,가전
2026.08.14 장마감,LS ELECTRIC,309750,206500,-3.5,LS,산업재,전력기기
2026.08.14 장마감,한화오션,293544,95800,5.62,한화,산업재,조선
2026.08.14 장마감,HD현대일렉트릭,289458,803000,2.29,HD현대,산업재,전력기기
2026.08.14 장마감,효성중공업,275447,2954000,-2.09,효성,산업재,전력기기
