기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.07.21 장마감,삼성전자,15141862,259000,6.15,삼성,IT,반도체
2026.07.21 장마감,SK하이닉스,13085215,1836000,4.08,SK,IT,반도체
2026.07.21 장마감,SK스퀘어,1653439,1253000,6.46,SK,산업재,지주
2026.07.21 장마감,삼성전기,978487,1310000,2.75,삼성,IT,전자부품
2026.07.21 장마감,현대차,816983,399000,0.0,현대차,자유소비재,자동차
2026.07.21 장마감,LG에너지솔루션,741780,317000,-0.16,LG,소재,배터리
2026.07.21 장마감,삼성바이오로직스,645759,1395000,3.72,삼성,헬스케어,바이오
2026.07.21 장마감,삼성생명,632000,316000,4.81,삼성,금융,보험
2026.07.21 장마감,KB금융,617157,174000,3.08,KB금융,금융,은행
2026.07.21 장마감,기아,564537,144600,3.29,현대차,자유소비재,자동차
2026.07.21 장마감,삼성물산,557046,343500,8.19,삼성,산업재,상사
2026.07.21 장마감,신한지주,496963,104700,2.85,신한금융,금융,은행
2026.07.21 장마감,HD현대중공업,473900,451500,0.67,HD현대,산업재,조선
2026.07.21 장마감,한화에어로스페이스,463555,899000,2.74,한화,산업재,방산
2026.07.21 장마감,현대모비스,435063,479500,1.48,현대차,자유소비재,자동차부품
2026.07.21 장마감,SK,432116,596000,2.94,SK,산업재,지주
2026.07.21 장마감,두산에너빌리티,427895,66800,3.09,두산,산업재,전력기기
2026.07.21 장마감,셀트리온,399062,171600,-0.58,셀트리온,헬스케어,바이오
2026.07.21 장마감,하나금융지주,363812,132600,-0.6,하나금융,금융,은행
2026.07.21 장마감,삼성SDI,335639,416500,3.87,삼성,소재,배터리
2026.07.21 장마감,NAVER,302902,193000,3.82,NAVER,커뮤니케이션서비스,플랫폼
2026.07.21 장마감,LS ELECTRIC,283650,189100,5.47,LS,산업재,전력기기
2026.07.21 장마감,LG전자,282116,173200,3.59,LG,자유소비재,가전
2026.07.21 장마감,HD현대일렉트릭,280447,778000,3.46,HD현대,산업재,전력기기
2026.07.21 장마감,삼성화재,275921,618000,2.66,삼성,금융,보험
2026.07.21 장마감,한화오션,250953,81900,-1.56,한화,산업재,조선
2026.07.21 장마감,효성중공업,240387,2578000,1.54,효성,산업재,전력기기
2026.07.21 장마감,POSCO홀딩스,240102,303000,0.17,포스코,소재,철강
2026.07.21 장마감,HD한국조선해양,239213,338000,-0.59,HD현대,산업재,조선
2026.07.21 장마감,우리금융지주,222067,30500,-0.16,우리금융,금융,은행
2026.07.21 장마감,한국전력,216342,33700,2.12,한국전력,유틸리티,전력
2026.07.21 장마감,한미반도체,213499,224000,0.9,한미반도체,IT,반도체장비
2026.07.21 장마감,미래에셋증권,208439,37250,0.54,미래에셋,금융,증권
2026.07.21 장마감,고려아연,199337,955000,-0.1,영풍,소재,금속소재
2026.07.21 장마감,SK이노베이션,196608,116300,-0.51,SK,에너지,정유
2026.07.21 장마감,HMM,189591,20100,-0.25,HMM,산업재,물류운송
2026.07.21 장마감,메리츠금융지주,189102,113000,0.0,메리츠,금융,금융지주
2026.07.21 장마감,삼성중공업,187000,21250,1.43,삼성,산업재,조선
2026.07.21 장마감,KT&G,184990,178200,-0.67,KT&G,필수소비재,기호품
2026.07.21 장마감,SK텔레콤,182786,85100,0.47,SK,커뮤니케이션서비스,통신
2026.07.21 장마감,두산,181857,1123000,0.36,두산,산업재,지주
2026.07.21 장마감,LG화학,176834,250500,-0.99,LG,소재,화학
2026.07.21 장마감,현대로템,167097,153100,4.01,현대차,산업재,방산
2026.07.21 장마감,기업은행,163871,20550,-3.07,IBK,금융,은행
2026.07.21 장마감,S-Oil,159417,141600,-3.48,S-Oil,에너지,정유
2026.07.21 장마감,HD현대,156406,198000,0.2,HD현대,산업재,지주
2026.07.21 장마감,카카오,156372,35300,0.71,카카오,커뮤니케이션서비스,플랫폼
2026.07.21 장마감,LG이노텍,148866,629000,4.49,LG,IT,전자부품
2026.07.21 장마감,삼성에스디에스,148178,191500,3.07,삼성,IT,IT서비스
2026.07.21 장마감,LIG디펜스앤에어로스페이스,147840,672000,-3.31,LIG,산업재,방산
2026.07.21 장마감,LG,147110,97300,2.42,LG,산업재,지주
2026.07.21 장마감,현대글로비스,142275,189700,1.72,현대차,산업재,물류운송
2026.07.21 장마감,한국항공우주,138902,142500,-0.97,KAI,산업재,방산
2026.07.21 장마감,에이피알,136649,365000,-0.82,에이피알,필수소비재,화장품
2026.07.21 장마감,KT,132815,52700,-1.5,KT,커뮤니케이션서비스,통신
2026.07.21 장마감,포스코퓨처엠,123279,138600,1.32,포스코,소재,배터리
2026.07.21 장마감,한국금융지주,122040,219000,1.15,한국투자금융,금융,금융지주
2026.07.21 장마감,한화시스템,114485,60600,-0.82,한화,산업재,방산
2026.07.21 장마감,NH투자증권,109839,29750,0.85,NH,금융,증권
2026.07.21 장마감,크래프톤,108193,234500,5.39,크래프톤,커뮤니케이션서비스,게임
2026.07.21 장마감,카카오뱅크,105921,22200,-1.55,카카오,금융,은행
2026.07.21 장마감,DB손해보험,105914,161700,1.7,DB,금융,보험
2026.07.21 장마감,현대건설,104452,93800,3.08,현대차,산업재,건설
2026.07.21 장마감,현대오토에버,103251,376500,1.35,현대차,IT,IT서비스
2026.07.21 장마감,삼성에피스홀딩스,94182,378500,1.61,삼성,산업재,지주
2026.07.21 장마감,대한항공,93344,25350,0.0,한진,산업재,물류운송
2026.07.21 장마감,포스코인터내셔널,92535,52600,3.95,포스코,산업재,상사
2026.07.21 장마감,삼성증권,92068,103100,1.38,삼성,금융,증권
2026.07.21 장마감,한국타이어앤테크놀로지,87827,70900,1.14,한국앤컴퍼니,자유소비재,자동차
2026.07.21 장마감,LS,85800,275000,3.58,LS,산업재,지주
2026.07.21 장마감,하이브,85515,198400,-2.27,하이브,커뮤니케이션서비스,엔터테인먼트
2026.07.21 장마감,삼양식품,84144,1117000,6.08,삼양,필수소비재,식품
2026.07.21 장마감,HD현대마린솔루션,82628,184300,-6.97,HD현대,산업재,조선
2026.07.21 장마감,삼성E&A,80948,41300,5.36,삼성,산업재,건설
2026.07.21 장마감,키움증권,80128,305500,-0.49,다우키움,금융,증권
2026.07.21 장마감,GS,76639,82500,-0.84,GS,산업재,지주
2026.07.21 장마감,아모레퍼시픽,70016,119700,2.05,아모레퍼시픽,필수소비재,화장품
2026.07.21 장마감,한진칼,68632,102800,-2.93,한진,산업재,지주
2026.07.21 장마감,코웨이,66168,93500,1.19,넷마블,자유소비재,생활가전/렌탈
2026.07.21 장마감,이수페타시스,65041,88600,4.98,이수,IT,전자부품
2026.07.21 장마감,한화,61130,86700,-0.57,한화,산업재,지주
2026.07.21 장마감,LG유플러스,61118,14400,-0.69,LG,커뮤니케이션서비스,통신
2026.07.21 장마감,대우건설,60814,14800,1.79,중흥,산업재,건설
2026.07.21 장마감,SK바이오팜,60771,77600,1.04,SK,헬스케어,바이오
2026.07.21 장마감,LG씨엔에스,60554,62500,1.13,LG,IT,IT서비스
2026.07.21 장마감,HD건설기계,58561,122200,0.91,HD현대,산업재,건설기계
2026.07.21 장마감,두산밥캣,58185,60700,1.51,두산,산업재,건설기계
2026.07.21 장마감,BNK금융지주,56169,18100,2.26,BNK,금융,은행
2026.07.21 장마감,유한양행,55435,69600,0.58,유한,헬스케어,바이오
2026.07.21 장마감,카카오페이,55190,40800,2.77,카카오,금융,핀테크
2026.07.21 장마감,삼성카드,54859,47350,-1.15,삼성,금융,카드
2026.07.21 장마감,신세계,53082,562000,5.84,신세계,자유소비재,유통
2026.07.21 장마감,대한전선,52036,26550,3.91,호반,산업재,전력기기
2026.07.21 장마감,오리온,50597,128000,0.79,오리온,필수소비재,식품
2026.07.21 장마감,산일전기,50455,164800,2.94,산일전기,산업재,전력기기
2026.07.21 장마감,JB금융지주,48946,26000,-1.7,JB금융,금융,은행
2026.07.21 장마감,LG디스플레이,48750,9750,-1.32,LG,IT,디스플레이
2026.07.21 장마감,한미약품,47721,372500,0.13,한미,헬스케어,바이오
2026.07.21 장마감,NC,45996,213500,1.43,,,
2026.07.21 장마감,한화솔루션,45723,26600,-0.56,한화,소재,화학
