기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.06.22 13:36 장중,SK하이닉스,20554336,2884000,4.34,SK,IT,반도체
2026.06.22 13:36 장중,삼성전자,20491207,350500,-0.99,삼성,IT,반도체
2026.06.22 13:36 장중,SK스퀘어,2553395,1935000,8.71,SK,산업재,지주
2026.06.22 13:36 장중,삼성전기,1663429,2227000,-1.89,삼성,IT,전자부품
2026.06.22 13:36 장중,현대차,1193738,583000,-4.89,현대차,자유소비재,자동차
2026.06.22 13:36 장중,삼성생명,926000,463000,-6.84,삼성,금융,보험
2026.06.22 13:36 장중,LG에너지솔루션,905580,387000,-4.33,LG,소재,배터리
2026.06.22 13:36 장중,삼성물산,853001,526000,7.02,삼성,산업재,상사
2026.06.22 13:36 장중,HD현대중공업,672801,641000,-3.9,HD현대,산업재,조선
2026.06.22 13:36 장중,두산에너빌리티,604049,94300,-3.68,두산,산업재,전력기기
2026.06.22 13:36 장중,삼성바이오로직스,600857,1298000,-5.53,삼성,헬스케어,바이오
2026.06.22 13:36 장중,기아,592647,151800,-2.0,현대차,자유소비재,자동차
2026.06.22 13:36 장중,한화에어로스페이스,584213,1133000,0.98,한화,산업재,방산
2026.06.22 13:36 장중,KB금융,555441,156600,-1.07,KB금융,금융,은행
2026.06.22 13:36 장중,SK,524195,723000,-0.14,SK,산업재,지주
2026.06.22 13:36 장중,현대모비스,518990,572000,-6.54,현대차,자유소비재,자동차부품
2026.06.22 13:36 장중,신한지주,465161,98000,-2.87,신한금융,금융,은행
2026.06.22 13:36 장중,삼성SDI,428715,532000,-4.14,삼성,소재,배터리
2026.06.22 13:36 장중,HD현대일렉트릭,374530,1039000,-3.62,HD현대,산업재,전력기기
2026.06.22 13:36 장중,LG전자,373006,229000,8.27,LG,자유소비재,가전
2026.06.22 13:36 장중,셀트리온,369906,166900,-2.0,셀트리온,헬스케어,바이오
2026.06.22 13:36 장중,LS ELECTRIC,369750,246500,-4.83,LS,산업재,전력기기
2026.06.22 13:36 장중,효성중공업,358902,3849000,-0.16,효성,산업재,전력기기
2026.06.22 13:36 장중,한화오션,357584,116700,-9.11,한화,산업재,조선
2026.06.22 13:36 장중,NAVER,349859,223000,-2.83,NAVER,커뮤니케이션서비스,플랫폼
2026.06.22 13:36 장중,하나금융지주,327321,119300,-3.4,하나금융,금융,은행
2026.06.22 13:36 장중,삼성화재,307621,689000,-1.57,삼성,금융,보험
2026.06.22 13:36 장중,HD한국조선해양,285216,403000,-3.82,HD현대,산업재,조선
2026.06.22 13:36 장중,한미반도체,279265,293000,-0.68,한미반도체,IT,반도체장비
2026.06.22 13:36 장중,POSCO홀딩스,274176,346000,-2.95,포스코,소재,철강
2026.06.22 13:36 장중,LG이노텍,266965,1128000,-1.48,LG,IT,전자부품
