기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.05.11 장마감,삼성전자,16691125,285500,6.33,삼성,IT,반도체
2026.05.11 장마감,SK하이닉스,13398804,1880000,11.51,SK,IT,반도체
2026.05.11 장마감,SK스퀘어,1566346,1187000,8.11,SK,산업재,지주
2026.05.11 장마감,현대차,1322735,646000,5.38,현대차,자유소비재,자동차
2026.05.11 장마감,LG에너지솔루션,1095120,468000,-1.78,LG,소재,배터리
2026.05.11 장마감,두산에너빌리티,819918,128000,-1.23,두산,산업재,전력기기
2026.05.11 장마감,삼성물산,733004,452000,6.98,삼성,산업재,상사
2026.05.11 장마감,HD현대중공업,718984,685000,4.1,HD현대,산업재,조선
2026.05.11 장마감,기아,682052,174700,6.2,현대차,자유소비재,자동차
2026.05.11 장마감,한화에어로스페이스,678059,1315000,0.61,한화,산업재,방산
2026.05.11 장마감,삼성바이오로직스,674922,1458000,-0.95,삼성,헬스케어,바이오
2026.05.11 장마감,삼성전기,672243,900000,-1.53,삼성,IT,전자부품
2026.05.11 장마감,삼성생명,599000,299500,1.53,삼성,금융,보험
2026.05.11 장마감,KB금융,592087,158800,-1.79,KB금융,금융,은행
2026.05.11 장마감,삼성SDI,551205,684000,0.88,삼성,소재,배터리
2026.05.11 장마감,현대모비스,501751,553000,8.64,현대차,자유소비재,자동차부품
2026.05.11 장마감,HD현대일렉트릭,490962,1362000,-2.92,HD현대,산업재,전력기기
2026.05.11 장마감,신한지주,461364,97200,-0.82,신한금융,금융,은행
2026.05.11 장마감,LS ELECTRIC,456000,304000,-2.88,LS,산업재,전력기기
2026.05.11 장마감,미래에셋증권,444296,79400,-0.25,미래에셋,금융,증권
2026.05.11 장마감,셀트리온,424568,191300,-3.58,셀트리온,헬스케어,바이오
2026.05.11 장마감,SK,413990,571000,3.82,SK,산업재,지주
2026.05.11 장마감,POSCO홀딩스,405717,512000,-2.48,포스코,소재,철강
2026.05.11 장마감,효성중공업,404033,4333000,-1.48,효성,산업재,전력기기
2026.05.11 장마감,한화오션,399869,130500,3.49,한화,산업재,조선
2026.05.11 장마감,한미반도체,381249,400000,2.56,한미반도체,IT,반도체장비
2026.05.11 장마감,하나금융지주,347350,126600,0.08,하나금융,금융,은행
2026.05.11 장마감,HD한국조선해양,335465,474000,4.87,HD현대,산업재,조선
2026.05.11 장마감,NAVER,331788,211500,-1.63,NAVER,커뮤니케이션서비스,플랫폼
2026.05.11 장마감,고려아연,318939,1528000,-1.99,영풍,소재,금속소재
2026.05.11 장마감,LG화학,298959,423500,-1.4,LG,소재,화학
2026.05.11 장마감,삼성중공업,298760,33950,6.26,삼성,산업재,조선
2026.05.11 장마감,두산,278534,1720000,-0.86,두산,산업재,지주
2026.05.11 장마감,한국전력,277328,43200,-1.93,한국전력,유틸리티,전력
2026.05.11 장마감,LG전자,255243,156700,1.69,LG,자유소비재,가전
2026.05.11 장마감,포스코퓨처엠,249049,280000,-3.45,포스코,소재,배터리
2026.05.11 장마감,현대로템,239567,219500,-1.57,현대차,산업재,방산
2026.05.11 장마감,우리금융지주,238575,32500,-1.07,우리금융,금융,은행
2026.05.11 장마감,HD현대,231845,293500,1.56,HD현대,산업재,지주
2026.05.11 장마감,삼성화재,225470,505000,1.2,삼성,금융,보험
2026.05.11 장마감,SK이노베이션,224333,132700,-1.48,SK,에너지,정유
2026.05.11 장마감,한화시스템,219335,116100,0.17,한화,산업재,방산
2026.05.11 장마감,SK텔레콤,210924,98200,5.03,SK,커뮤니케이션서비스,통신
2026.05.11 장마감,KT&G,206762,180300,-0.39,KT&G,필수소비재,기호품
2026.05.11 장마감,카카오,198071,44700,-2.83,카카오,커뮤니케이션서비스,플랫폼
2026.05.11 장마감,LIG디펜스앤에어로스페이스,192500,875000,4.17,,,
2026.05.11 장마감,HMM,189119,20050,-2.67,HMM,산업재,물류운송
2026.05.11 장마감,현대글로비스,188250,251000,0.0,현대차,산업재,물류운송
2026.05.11 장마감,메리츠금융지주,187429,112000,-0.36,메리츠,금융,금융지주
2026.05.11 장마감,현대건설,184628,165800,1.1,현대차,산업재,건설
2026.05.11 장마감,현대오토에버,174142,635000,7.26,현대차,IT,IT서비스
2026.05.11 장마감,기업은행,170250,21350,-2.06,IBK,금융,은행
2026.05.11 장마감,LS,168792,541000,-0.37,LS,산업재,지주
2026.05.11 장마감,한국항공우주,165220,169500,1.62,KAI,산업재,방산
2026.05.11 장마감,에이피알,163979,438000,0.92,에이피알,필수소비재,화장품
2026.05.11 장마감,LG이노텍,162830,688000,10.26,LG,IT,전자부품
2026.05.11 장마감,LG,162087,105100,-3.49,LG,산업재,지주
2026.05.11 장마감,한국금융지주,148231,266000,-0.93,한국투자금융,금융,금융지주
2026.05.11 장마감,KT,148189,58800,-0.84,KT,커뮤니케이션서비스,통신
2026.05.11 장마감,크래프톤,134877,284500,4.21,크래프톤,커뮤니케이션서비스,게임
2026.05.11 장마감,삼성에스디에스,134405,173700,-0.97,삼성,IT,IT서비스
2026.05.11 장마감,포스코인터내셔널,132470,75300,-3.46,포스코,산업재,상사
2026.05.11 장마감,대우건설,131901,32100,-2.28,중흥,산업재,건설
2026.05.11 장마감,대한전선,131445,70500,-2.49,호반,산업재,전력기기
2026.05.11 장마감,NH투자증권,128462,36050,-1.5,NH,금융,증권
2026.05.11 장마감,삼성에피스홀딩스,128148,515000,-2.83,삼성,산업재,지주
2026.05.11 장마감,S-Oil,124854,110900,-5.05,S-Oil,에너지,정유
2026.05.11 장마감,삼성증권,120734,135200,-1.46,삼성,금융,증권
2026.05.11 장마감,키움증권,120388,459000,1.44,다우키움,금융,증권
2026.05.11 장마감,HD현대마린솔루션,115222,257000,6.86,HD현대,산업재,조선
2026.05.11 장마감,삼성E&A,114856,58600,-6.09,삼성,산업재,건설
2026.05.11 장마감,카카오뱅크,110453,23150,-2.11,카카오,금융,은행
2026.05.11 장마감,DB손해보험,106242,162200,-1.46,DB,금융,보험
2026.05.11 장마감,하이브,104092,241500,-2.42,하이브,커뮤니케이션서비스,엔터테인먼트
2026.05.11 장마감,이수페타시스,102846,140100,-0.71,이수,IT,전자부품
2026.05.11 장마감,삼양식품,99360,1319000,-3.01,삼양,필수소비재,식품
2026.05.11 장마감,산일전기,99195,324000,-2.11,산일전기,산업재,전력기기
2026.05.11 장마감,한화,97371,138100,-2.26,한화,산업재,지주
2026.05.11 장마감,대한항공,94817,25750,-4.81,한진,산업재,물류운송
2026.05.11 장마감,카카오페이,80336,59400,4.21,카카오,금융,핀테크
2026.05.11 장마감,한화솔루션,78211,45500,-3.81,한화,소재,화학
2026.05.11 장마감,SK바이오팜,77217,98600,-0.8,SK,헬스케어,바이오
2026.05.11 장마감,엘앤에프,75773,187300,-4.34,엘앤에프,소재,배터리
2026.05.11 장마감,한국타이어앤테크놀로지,75688,61100,-1.61,한국앤컴퍼니,자유소비재,자동차
2026.05.11 장마감,아모레퍼시픽,74812,127900,-1.16,아모레퍼시픽,필수소비재,화장품
2026.05.11 장마감,한진칼,74039,110900,-2.8,한진,산업재,지주
2026.05.11 장마감,GS,71916,77400,-2.52,GS,산업재,지주
2026.05.11 장마감,두산밥캣,70167,73200,-2.27,두산,산업재,건설기계
2026.05.11 장마감,LG씨엔에스,68305,70500,-0.7,LG,IT,IT서비스
2026.05.11 장마감,두산로보틱스,67672,104400,3.37,두산,산업재,로봇산업
2026.05.11 장마감,유한양행,67382,84600,-2.31,유한,헬스케어,바이오
2026.05.11 장마감,LG유플러스,65850,15320,1.79,LG,커뮤니케이션서비스,통신
2026.05.11 장마감,코웨이,65672,92800,5.94,넷마블,자유소비재,생활가전/렌탈
2026.05.11 장마감,한전기술,65509,171400,-1.27,한국전력,산업재,전력기기
2026.05.11 장마감,한화엔진,65423,78400,-1.26,한화,산업재,조선
2026.05.11 장마감,CJ,63752,218500,-1.58,CJ,산업재,지주
2026.05.11 장마감,LG디스플레이,63050,12610,2.27,LG,IT,디스플레이
2026.05.11 장마감,OCI홀딩스,59651,319500,0.31,OCI,산업재,지주
2026.05.11 장마감,SKC,59188,156300,-2.25,SK,소재,화학
2026.05.11 장마감,한온시스템,58805,5730,20.13,한온시스템,자유소비재,자동차부품
