기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.04.01 10:24 장중,삼성전자,10702705,180800,8.13,삼성,IT,반도체
2026.04.01 10:24 장중,SK하이닉스,6229019,874000,8.3,SK,IT,반도체
2026.04.01 10:24 장중,현대차,975671,476500,6.96,현대차,자유소비재,자동차
2026.04.01 10:24 장중,LG에너지솔루션,931320,398000,0.89,LG,소재,배터리
2026.04.01 10:24 장중,삼성바이오로직스,705937,1525000,1.4,삼성,헬스케어,바이오
2026.04.01 10:24 장중,한화에어로스페이스,676512,1312000,5.04,한화,산업재,방산
2026.04.01 10:24 장중,SK스퀘어,655152,496000,6.32,SK,산업재,지주
2026.04.01 10:24 장중,두산에너빌리티,625828,97700,6.43,두산,산업재,전력기기
2026.04.01 10:24 장중,기아,593037,151900,4.61,현대차,자유소비재,자동차
2026.04.01 10:24 장중,KB금융,552192,148100,4.37,KB금융,금융,은행
2026.04.01 10:24 장중,셀트리온,466717,202000,2.43,셀트리온,헬스케어,바이오
2026.04.01 10:24 장중,HD현대중공업,458156,436500,-6.13,HD현대,산업재,조선
2026.04.01 10:24 장중,삼성생명,450000,225000,6.89,삼성,금융,보험
2026.04.01 10:24 장중,신한지주,439530,92600,5.59,신한금융,금융,은행
2026.04.01 10:24 장중,삼성물산,432180,266500,5.13,삼성,산업재,상사
2026.04.01 10:24 장중,한화오션,382404,124800,3.83,한화,산업재,조선
2026.04.01 10:24 장중,미래에셋증권,368175,66300,7.63,미래에셋,금융,증권
2026.04.01 10:24 장중,현대모비스,360662,397500,5.16,현대차,자유소비재,자동차부품
2026.04.01 10:24 장중,삼성SDI,338056,419500,2.82,삼성,소재,배터리
2026.04.01 10:24 장중,삼성전기,329773,441500,8.34,삼성,IT,전자부품
2026.04.01 10:24 장중,NAVER,325861,207750,3.1,NAVER,커뮤니케이션서비스,플랫폼
2026.04.01 10:24 장중,HD현대일렉트릭,325325,902500,8.47,HD현대,산업재,전력기기
2026.04.01 10:24 장중,고려아연,316852,1518000,6.75,영풍,소재,금속소재
2026.04.01 10:24 장중,하나금융지주,308385,110800,3.94,하나금융,금융,은행
2026.04.01 10:24 장중,POSCO홀딩스,276791,342000,2.86,포스코,소재,철강
2026.04.01 10:24 장중,한국전력,275724,42950,3.12,한국전력,유틸리티,전력
2026.04.01 10:24 장중,한미반도체,256390,269000,7.17,한미반도체,IT,반도체장비
2026.04.01 10:24 장중,HD한국조선해양,253014,357500,3.92,HD현대,산업재,조선
2026.04.01 10:24 장중,한화시스템,246918,130700,14.55,한화,산업재,방산
2026.04.01 10:24 장중,효성중공업,243184,2608000,6.19,효성,산업재,전력기기
2026.04.01 10:24 장중,우리금융지주,241144,32850,2.5,우리금융,금융,은행
2026.04.01 10:24 장중,LS ELECTRIC,233850,779500,8.57,LS,산업재,전력기기
2026.04.01 10:24 장중,삼성중공업,231440,26300,7.57,삼성,산업재,조선
2026.04.01 10:24 장중,SK,228384,315000,4.65,SK,산업재,지주
2026.04.01 10:24 장중,LG화학,215660,305500,2.17,LG,소재,화학
