기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.06.22 14:47 장중,삼성전자,20666595,353500,-0.14,삼성,IT,반도체
2026.06.22 14:47 장중,SK하이닉스,20632733,2895000,4.74,SK,IT,반도체
2026.06.22 14:47 장중,SK스퀘어,2549436,1932000,8.54,SK,산업재,지주
2026.06.22 14:47 장중,삼성전기,1669404,2235000,-1.54,삼성,IT,전자부품
2026.06.22 14:47 장중,현대차,1191690,582000,-5.06,현대차,자유소비재,자동차
2026.06.22 14:47 장중,삼성생명,906000,453000,-8.85,삼성,금융,보험
2026.06.22 14:47 장중,LG에너지솔루션,903825,386250,-4.51,LG,소재,배터리
2026.06.22 14:47 장중,삼성물산,856245,528000,7.43,삼성,산업재,상사
2026.06.22 14:47 장중,HD현대중공업,672801,641000,-3.9,HD현대,산업재,조선
2026.06.22 14:47 장중,두산에너빌리티,605330,94500,-3.47,두산,산업재,전력기기
2026.06.22 14:47 장중,삼성바이오로직스,597616,1291000,-6.04,삼성,헬스케어,바이오
2026.06.22 14:47 장중,기아,591085,151400,-2.26,현대차,자유소비재,자동차
2026.06.22 14:47 장중,한화에어로스페이스,582151,1129000,0.62,한화,산업재,방산
2026.06.22 14:47 장중,KB금융,555086,156500,-1.14,KB금융,금융,은행
2026.06.22 14:47 장중,SK,526370,726000,0.28,SK,산업재,지주
2026.06.22 14:47 장중,현대모비스,518990,572000,-6.54,현대차,자유소비재,자동차부품
2026.06.22 14:47 장중,신한지주,464212,97800,-3.07,신한금융,금융,은행
2026.06.22 14:47 장중,삼성SDI,431133,535000,-3.6,삼성,소재,배터리
2026.06.22 14:47 장중,HD현대일렉트릭,375251,1041000,-3.43,HD현대,산업재,전력기기
2026.06.22 14:47 장중,셀트리온,370349,167100,-1.88,셀트리온,헬스케어,바이오
2026.06.22 14:47 장중,LG전자,369748,227000,7.33,LG,자유소비재,가전
2026.06.22 14:47 장중,LS ELECTRIC,369000,246000,-5.02,LS,산업재,전력기기
2026.06.22 14:47 장중,효성중공업,359741,3858000,0.08,효성,산업재,전력기기
2026.06.22 14:47 장중,한화오션,357584,116700,-9.11,한화,산업재,조선
2026.06.22 14:47 장중,NAVER,349467,222750,-2.94,NAVER,커뮤니케이션서비스,플랫폼
2026.06.22 14:47 장중,하나금융지주,326498,119000,-3.64,하나금융,금융,은행
2026.06.22 14:47 장중,삼성화재,305835,685000,-2.14,삼성,금융,보험
2026.06.22 14:47 장중,한미반도체,284983,299000,1.36,한미반도체,IT,반도체장비
2026.06.22 14:47 장중,HD한국조선해양,283092,400000,-4.53,HD현대,산업재,조선
2026.06.22 14:47 장중,POSCO홀딩스,274770,346750,-2.73,포스코,소재,철강
2026.06.22 14:47 장중,LG이노텍,269095,1137000,-0.7,LG,IT,전자부품
2026.06.22 14:47 장중,두산,265903,1642000,0.67,두산,산업재,지주
2026.06.22 14:47 장중,미래에셋증권,257681,46050,-5.54,미래에셋,금융,증권
2026.06.22 14:47 장중,한국전력,245872,38300,1.06,한국전력,유틸리티,전력
2026.06.22 14:47 장중,고려아연,239204,1146000,-3.86,영풍,소재,금속소재
2026.06.22 14:47 장중,삼성중공업,231880,26350,-4.36,삼성,산업재,조선
2026.06.22 14:47 장중,LG화학,229072,324500,-3.99,LG,소재,화학
2026.06.22 14:47 장중,현대로템,223196,204500,-1.21,현대차,산업재,방산
2026.06.22 14:47 장중,우리금융지주,219489,29900,-3.7,우리금융,금융,은행
2026.06.22 14:47 장중,SK텔레콤,199755,93000,-2.0,SK,커뮤니케이션서비스,통신
2026.06.22 14:47 장중,LIG디펜스앤에어로스페이스,186120,846000,-0.7,,,
2026.06.22 14:47 장중,HMM,184120,19520,-3.13,HMM,산업재,물류운송
2026.06.22 14:47 장중,KT&G,181461,174800,-2.89,KT&G,필수소비재,기호품
2026.06.22 14:47 장중,메리츠금융지주,176551,105500,-2.41,메리츠,금융,금융지주
2026.06.22 14:47 장중,HD현대,176550,223500,-3.04,HD현대,산업재,지주
2026.06.22 14:47 장중,현대오토에버,171948,627000,-5.29,현대차,IT,IT서비스
2026.06.22 14:47 장중,포스코퓨처엠,170243,191400,-4.06,포스코,소재,배터리
2026.06.22 14:47 장중,한화시스템,169650,89800,-1.43,한화,산업재,방산
2026.06.22 14:47 장중,SK이노베이션,169391,100200,-2.15,SK,에너지,정유
2026.06.22 14:47 장중,LG,166009,109800,0.83,LG,산업재,지주
2026.06.22 14:47 장중,기업은행,163672,20525,-4.31,IBK,금융,은행
2026.06.22 14:47 장중,카카오,163152,36850,-2.38,카카오,커뮤니케이션서비스,플랫폼
2026.06.22 14:47 장중,삼성에스디에스,162106,209500,-1.18,삼성,IT,IT서비스
2026.06.22 14:47 장중,현대글로비스,153750,205000,-7.87,현대차,산업재,물류운송
2026.06.22 14:47 장중,한국항공우주,145823,149600,2.12,KAI,산업재,방산
2026.06.22 14:47 장중,현대건설,142201,127700,-0.7,현대차,산업재,건설
2026.06.22 14:47 장중,에이피알,139270,372000,-3.5,에이피알,필수소비재,화장품
2026.06.22 14:47 장중,KT,132815,52700,-1.13,KT,커뮤니케이션서비스,통신
2026.06.22 14:47 장중,한국금융지주,123433,221500,-4.11,한국투자금융,금융,금융지주
2026.06.22 14:47 장중,LS,122304,392000,-4.39,LS,산업재,지주
2026.06.22 14:47 장중,S-Oil,119225,105900,0.57,S-Oil,에너지,정유
2026.06.22 14:47 장중,NH투자증권,108507,30450,-4.84,NH,금융,증권
2026.06.22 14:47 장중,크래프톤,102885,223000,-7.66,크래프톤,커뮤니케이션서비스,게임
2026.06.22 14:47 장중,삼성에피스홀딩스,101772,409000,-4.66,삼성,산업재,지주
2026.06.22 14:47 장중,삼성증권,101534,113700,-4.37,삼성,금융,증권
2026.06.22 14:47 장중,카카오뱅크,100911,21150,-4.51,카카오,금융,은행
2026.06.22 14:47 장중,대한항공,99788,27100,-3.04,한진,산업재,물류운송
2026.06.22 14:47 장중,삼성E&A,97706,49850,2.47,삼성,산업재,건설
2026.06.22 14:47 장중,HD현대마린솔루션,94823,211500,-6.0,HD현대,산업재,조선
2026.06.22 14:47 장중,포스코인터내셔널,93239,53000,-3.64,포스코,산업재,상사
2026.06.22 14:47 장중,DB손해보험,92486,141200,-2.55,DB,금융,보험
2026.06.22 14:47 장중,하이브,91808,213000,-4.7,하이브,커뮤니케이션서비스,엔터테인먼트
2026.06.22 14:47 장중,대우건설,89783,21850,2.82,중흥,산업재,건설
2026.06.22 14:47 장중,키움증권,87734,334500,-3.32,다우키움,금융,증권
2026.06.22 14:47 장중,LG씨엔에스,86519,89300,4.08,LG,IT,IT서비스
2026.06.22 14:47 장중,이수페타시스,86036,117200,1.82,이수,IT,전자부품
2026.06.22 14:47 장중,삼양식품,80829,1073000,-2.72,삼양,필수소비재,식품
2026.06.22 14:47 장중,한화,80238,113800,-1.22,한화,산업재,지주
2026.06.22 14:47 장중,한국타이어앤테크놀로지,80023,64600,-3.15,한국앤컴퍼니,자유소비재,자동차
2026.06.22 14:47 장중,한진칼,76243,114200,-5.7,한진,산업재,지주
2026.06.22 14:47 장중,DB하이텍,74306,170800,9.42,,,
2026.06.22 14:47 장중,대한전선,72419,36950,-3.4,호반,산업재,전력기기
2026.06.22 14:47 장중,산일전기,69345,226500,-3.82,산일전기,산업재,전력기기
2026.06.22 14:47 장중,SK바이오팜,66253,84600,-2.76,SK,헬스케어,바이오
2026.06.22 14:47 장중,신세계,66211,701000,-1.41,신세계,자유소비재,유통
2026.06.22 14:47 장중,한화솔루션,65405,38050,0.0,한화,소재,화학
2026.06.22 14:47 장중,LG디스플레이,64950,12990,-4.27,LG,IT,디스플레이
2026.06.22 14:47 장중,두산로보틱스,64755,99900,-1.87,두산,산업재,로봇산업
2026.06.22 14:47 장중,HD건설기계,63497,132500,-3.07,,,
2026.06.22 14:47 장중,GS,62426,67200,-4.0,GS,산업재,지주
2026.06.22 14:47 장중,LG유플러스,61648,14525,-1.26,LG,커뮤니케이션서비스,통신
2026.06.22 14:47 장중,두산밥캣,61540,64200,-1.68,두산,산업재,건설기계
2026.06.22 14:47 장중,코웨이,61143,86400,-1.14,넷마블,자유소비재,생활가전/렌탈
2026.06.22 14:47 장중,SKC,59468,119900,0.25,SK,소재,화학
2026.06.22 14:47 장중,아모레퍼시픽,58785,100500,-3.92,아모레퍼시픽,필수소비재,화장품
2026.06.22 14:47 장중,유한양행,58143,73000,-4.07,유한,헬스케어,바이오
2026.06.22 14:47 장중,카카오페이,57351,42400,-3.64,카카오,금융,핀테크
2026.06.22 14:47 장중,NC,56122,260500,-5.96,,,
2026.06.22 14:47 장중,삼성카드,54570,47100,-4.94,삼성,금융,카드
2026.06.22 14:47 장중,BNK금융지주,52818,17020,-4.06,BNK,금융,은행
