기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류
2026.07.02 장마감,삼성전자,16720357,286000,-9.06,삼성,IT,반도체
2026.07.02 장마감,SK하이닉스,15586801,2187000,-14.57,SK,IT,반도체
2026.07.02 장마감,SK스퀘어,2012365,1525000,-13.2,SK,산업재,지주
2026.07.02 장마감,삼성전기,1438601,1926000,-12.65,삼성,IT,전자부품
2026.07.02 장마감,현대차,986932,482000,-1.13,현대차,자유소비재,자동차
2026.07.02 장마감,LG에너지솔루션,828360,354000,1.72,LG,소재,배터리
2026.07.02 장마감,삼성생명,741000,370500,-4.26,삼성,금융,보험
2026.07.02 장마감,삼성물산,659211,406500,-6.34,삼성,산업재,상사
2026.07.02 장마감,삼성바이오로직스,650851,1406000,0.72,삼성,헬스케어,바이오
2026.07.02 장마감,HD현대중공업,619271,590000,-4.07,HD현대,산업재,조선
2026.07.02 장마감,KB금융,585235,165000,4.1,KB금융,금융,은행
2026.07.02 장마감,한화에어로스페이스,575448,1116000,2.29,한화,산업재,방산
2026.07.02 장마감,기아,566880,145200,2.61,현대차,자유소비재,자동차
2026.07.02 장마감,두산에너빌리티,550883,86000,-2.82,두산,산업재,전력기기
2026.07.02 장마감,SK,495193,683000,-10.48,SK,산업재,지주
2026.07.02 장마감,신한지주,485097,102200,6.02,신한금융,금융,은행
2026.07.02 장마감,현대모비스,446404,492000,-0.4,현대차,자유소비재,자동차부품
2026.07.02 장마감,셀트리온,410690,176600,1.2,셀트리온,헬스케어,바이오
2026.07.02 장마감,삼성SDI,379155,470500,-4.18,삼성,소재,배터리
2026.07.02 장마감,LS ELECTRIC,354750,236500,-10.25,LS,산업재,전력기기
2026.07.02 장마감,HD현대일렉트릭,349297,969000,-4.25,HD현대,산업재,전력기기
2026.07.02 장마감,하나금융지주,331436,120800,3.78,하나금융,금융,은행
2026.07.02 장마감,한화오션,320202,104500,1.16,한화,산업재,조선
2026.07.02 장마감,효성중공업,320018,3432000,-7.69,효성,산업재,전력기기
