기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
04.24~05.01 Weekly,삼성전자,12891044,220500,0.46,삼성,IT,반도체,219500
04.24~05.01 Weekly,SK하이닉스,9165352,1286000,5.24,SK,IT,반도체,1222000
04.24~05.01 Weekly,SK스퀘어,1109770,841000,16.0,SK,산업재,지주,725000
04.24~05.01 Weekly,현대차,1087264,531000,3.51,현대차,자유소비재,자동차,513000
04.24~05.01 Weekly,LG에너지솔루션,1077570,460500,-4.26,LG,소재,배터리,481000
04.24~05.01 Weekly,두산에너빌리티,814153,127100,0.0,두산,산업재,전력기기,127100
04.24~05.01 Weekly,한화에어로스페이스,730653,1417000,-3.14,한화,산업재,방산,1463000
04.24~05.01 Weekly,HD현대중공업,718984,685000,2.09,HD현대,산업재,조선,671000
04.24~05.01 Weekly,삼성바이오로직스,680477,1470000,-3.8,삼성,헬스케어,바이오,1528000
04.24~05.01 Weekly,삼성전기,621452,832000,5.58,삼성,IT,전자부품,788000
04.24~05.01 Weekly,KB금융,598425,160500,1.97,KB금융,금융,은행,157400
04.24~05.01 Weekly,기아,592647,151800,-1.04,현대차,자유소비재,자동차,153400
04.24~05.01 Weekly,삼성SDI,560069,695000,8.42,삼성,소재,배터리,641000
04.24~05.01 Weekly,삼성생명,499000,249500,2.04,삼성,금융,보험,244500
04.24~05.01 Weekly,삼성물산,484074,298500,-4.17,삼성,산업재,상사,311500
04.24~05.01 Weekly,신한지주,474180,99900,-0.1,신한금융,금융,은행,100000
04.24~05.01 Weekly,HD현대일렉트릭,451310,1252000,0.32,HD현대,산업재,전력기기,1248000
04.24~05.01 Weekly,셀트리온,444986,200500,-4.07,셀트리온,헬스케어,바이오,209000
04.24~05.01 Weekly,LS ELECTRIC,417000,278000,22.74,LS,산업재,전력기기,226500
04.24~05.01 Weekly,한화오션,403853,131800,-2.3,한화,산업재,조선,134900
04.24~05.01 Weekly,현대모비스,385613,425000,0.59,현대차,자유소비재,자동차부품,422500
04.24~05.01 Weekly,POSCO홀딩스,366096,462000,11.33,포스코,소재,철강,415000
04.24~05.01 Weekly,효성중공업,364776,3912000,10.14,효성,산업재,전력기기,3552000
04.24~05.01 Weekly,미래에셋증권,362599,64800,-3.14,미래에셋,금융,증권,66900
04.24~05.01 Weekly,하나금융지주,350916,127900,3.73,하나금융,금융,은행,123300
04.24~05.01 Weekly,한미반도체,350749,368000,24.53,한미반도체,IT,반도체장비,295500
04.24~05.01 Weekly,NAVER,330959,211000,-1.4,NAVER,커뮤니케이션서비스,플랫폼,214000
04.24~05.01 Weekly,고려아연,329584,1579000,-3.84,영풍,소재,금속소재,1642000
04.24~05.01 Weekly,HD한국조선해양,326618,461500,-3.05,HD현대,산업재,조선,476000
04.24~05.01 Weekly,SK,308136,425000,6.65,SK,산업재,지주,398500
04.24~05.01 Weekly,현대로템,293047,268500,15.24,현대차,산업재,방산,233000
04.24~05.01 Weekly,삼성중공업,284680,32350,-5.96,삼성,산업재,조선,34400
04.24~05.01 Weekly,LG화학,280252,397000,1.4,LG,소재,화학,391500
04.24~05.01 Weekly,한국전력,279575,43550,-5.74,한국전력,유틸리티,전력,46200
04.24~05.01 Weekly,두산,258454,1596000,3.57,두산,산업재,지주,1541000
04.24~05.01 Weekly,SK이노베이션,247155,146200,10.01,SK,에너지,정유,132900
04.24~05.01 Weekly,HD현대,245274,310500,7.81,HD현대,산업재,지주,288000
04.24~05.01 Weekly,우리금융지주,244814,33350,-4.85,우리금융,금융,은행,35050
04.24~05.01 Weekly,LG전자,229507,140900,10.51,LG,자유소비재,가전,127500
04.24~05.01 Weekly,포스코퓨처엠,224144,252000,0.0,포스코,소재,배터리,252000
04.24~05.01 Weekly,한화시스템,221602,117300,-10.05,한화,산업재,방산,130400
04.24~05.01 Weekly,카카오,209539,47300,-1.56,카카오,커뮤니케이션서비스,플랫폼,48050
04.24~05.01 Weekly,LIG디펜스앤에어로스페이스,207020,941000,-4.85,,,,989000
04.24~05.01 Weekly,삼성화재,205825,461000,1.1,삼성,금융,보험,456000
04.24~05.01 Weekly,KT&G,204468,178300,1.19,KT&G,필수소비재,기호품,176200
04.24~05.01 Weekly,SK텔레콤,204265,95100,-4.9,SK,커뮤니케이션서비스,통신,100000
04.24~05.01 Weekly,HMM,193364,20500,-2.84,HMM,산업재,물류운송,21100
04.24~05.01 Weekly,메리츠금융지주,186927,111700,-2.45,메리츠,금융,금융지주,114500
04.24~05.01 Weekly,기업은행,180218,22600,1.12,IBK,금융,은행,22350
04.24~05.01 Weekly,현대건설,180174,161800,-6.47,현대차,산업재,건설,173000
04.24~05.01 Weekly,현대글로비스,170250,227000,2.02,현대차,산업재,물류운송,222500
04.24~05.01 Weekly,한국항공우주,164733,169000,-1.4,KAI,산업재,방산,171400
04.24~05.01 Weekly,에이피알,158925,424500,-5.67,에이피알,필수소비재,화장품,450000
04.24~05.01 Weekly,포스코인터내셔널,153581,87300,7.38,포스코,산업재,상사,81300
04.24~05.01 Weekly,KT,153481,60900,-1.3,KT,커뮤니케이션서비스,통신,61700
04.24~05.01 Weekly,LG,152834,99100,3.23,LG,산업재,지주,96000
04.24~05.01 Weekly,S-Oil,151424,134500,12.65,S-Oil,에너지,정유,119400
04.24~05.01 Weekly,대우건설,143818,35000,6.71,중흥,산업재,건설,32800
04.24~05.01 Weekly,LS,141336,453000,13.68,LS,산업재,지주,398500
04.24~05.01 Weekly,LG이노텍,135613,573000,5.72,LG,IT,전자부품,542000
04.24~05.01 Weekly,삼성에피스홀딩스,135115,543000,-5.4,삼성,산업재,지주,574000
04.24~05.01 Weekly,한국금융지주,133742,240000,-7.34,한국투자금융,금융,금융지주,259000
04.24~05.01 Weekly,삼성에스디에스,128602,166200,-2.12,삼성,IT,IT서비스,169800
04.24~05.01 Weekly,크래프톤,125632,265000,-3.46,크래프톤,커뮤니케이션서비스,게임,274500
04.24~05.01 Weekly,현대오토에버,123545,450500,4.89,현대차,IT,IT서비스,429500
04.24~05.01 Weekly,NH투자증권,119910,33650,-4.13,NH,금융,증권,35100
04.24~05.01 Weekly,HD현대마린솔루션,119033,265500,4.73,HD현대,산업재,조선,253500
04.24~05.01 Weekly,카카오뱅크,116179,24350,-3.75,카카오,금융,은행,25300
04.24~05.01 Weekly,하이브,113359,263000,4.37,하이브,커뮤니케이션서비스,엔터테인먼트,252000
04.24~05.01 Weekly,이수페타시스,110334,150300,-2.02,이수,IT,전자부품,153400
04.24~05.01 Weekly,DB손해보험,109779,167600,-4.23,DB,금융,보험,175000
04.24~05.01 Weekly,대한전선,104970,56300,31.39,호반,산업재,전력기기,42850
04.24~05.01 Weekly,키움증권,104389,398000,-11.46,다우키움,금융,증권,449500
04.24~05.01 Weekly,삼성E&A,104076,53100,1.14,삼성,산업재,건설,52500
04.24~05.01 Weekly,삼양식품,101018,1341000,1.98,삼양,필수소비재,식품,1315000
04.24~05.01 Weekly,삼성증권,95998,107500,-3.67,삼성,금융,증권,111600
04.24~05.01 Weekly,한화,94058,133400,1.75,한화,산업재,지주,131100
04.24~05.01 Weekly,대한항공,90398,24550,-1.21,한진,산업재,물류운송,24850
04.24~05.01 Weekly,한화솔루션,87150,50700,2.74,한화,소재,화학,49350
04.24~05.01 Weekly,산일전기,81438,266000,19.82,산일전기,산업재,전력기기,222000
04.24~05.01 Weekly,아모레퍼시픽,79141,135300,-5.98,아모레퍼시픽,필수소비재,화장품,143900
04.24~05.01 Weekly,엘앤에프,78754,195100,-1.71,엘앤에프,소재,배터리,198500
04.24~05.01 Weekly,SK바이오팜,78235,99900,-2.35,SK,헬스케어,바이오,102300
04.24~05.01 Weekly,GS,76098,81900,8.19,GS,산업재,지주,75700
