기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
07.03~07.10 Weekly,삼성전자,16661894,285000,-7.92,삼성,IT,반도체,309500
07.03~07.10 Weekly,SK하이닉스,15536912,2180000,-10.1,SK,IT,반도체,2425000
07.03~07.10 Weekly,SK스퀘어,1859294,1409000,-11.33,SK,산업재,지주,1589000
07.03~07.10 Weekly,삼성전기,1183148,1584000,-20.36,삼성,IT,전자부품,1989000
07.03~07.10 Weekly,현대차,936767,457500,-7.01,현대차,자유소비재,자동차,492000
07.03~07.10 Weekly,LG에너지솔루션,762840,326000,-10.07,LG,소재,배터리,362500
07.03~07.10 Weekly,삼성생명,681000,340500,-11.1,삼성,금융,보험,383000
07.03~07.10 Weekly,KB금융,654044,184400,8.41,KB금융,금융,은행,170100
07.03~07.10 Weekly,삼성바이오로직스,645759,1395000,-1.83,삼성,헬스케어,바이오,1421000
07.03~07.10 Weekly,삼성물산,634886,391500,-9.69,삼성,산업재,상사,433500
07.03~07.10 Weekly,기아,575859,147500,-2.96,현대차,자유소비재,자동차,152000
07.03~07.10 Weekly,HD현대중공업,529005,504000,-12.65,HD현대,산업재,조선,577000
07.03~07.10 Weekly,신한지주,518323,109200,1.77,신한금융,금융,은행,107300
07.03~07.10 Weekly,두산에너빌리티,500278,78100,-9.4,두산,산업재,전력기기,86200
07.03~07.10 Weekly,한화에어로스페이스,498618,967000,-17.7,한화,산업재,방산,1175000
07.03~07.10 Weekly,SK,476343,657000,-4.78,SK,산업재,지주,690000
07.03~07.10 Weekly,현대모비스,442775,488000,-1.21,현대차,자유소비재,자동차부품,494000
07.03~07.10 Weekly,셀트리온,407434,175200,-4.58,셀트리온,헬스케어,바이오,183600
07.03~07.10 Weekly,하나금융지주,352563,128500,2.31,하나금융,금융,은행,125600
07.03~07.10 Weekly,삼성SDI,349741,434000,-7.17,삼성,소재,배터리,467500
07.03~07.10 Weekly,HD현대일렉트릭,306761,851000,-9.95,HD현대,산업재,전력기기,945000
07.03~07.10 Weekly,LS ELECTRIC,303750,202500,-11.76,LS,산업재,전력기기,229500
07.03~07.10 Weekly,NAVER,300234,191300,-2.3,NAVER,커뮤니케이션서비스,플랫폼,195800
07.03~07.10 Weekly,LG전자,297102,182400,-4.5,LG,자유소비재,가전,191000
07.03~07.10 Weekly,삼성화재,289316,648000,1.57,삼성,금융,보험,638000
07.03~07.10 Weekly,효성중공업,272650,2924000,-12.01,효성,산업재,전력기기,3323000
07.03~07.10 Weekly,한화오션,249114,81300,-23.95,한화,산업재,조선,106900
07.03~07.10 Weekly,POSCO홀딩스,248422,313500,-2.03,포스코,소재,철강,320000
07.03~07.10 Weekly,HD한국조선해양,240982,340500,-5.29,HD현대,산업재,조선,359500
07.03~07.10 Weekly,미래에셋증권,236137,42200,-1.29,미래에셋,금융,증권,42750
07.03~07.10 Weekly,한국전력,232391,36200,-5.36,한국전력,유틸리티,전력,38250
07.03~07.10 Weekly,우리금융지주,228984,31450,2.28,우리금융,금융,은행,30750
07.03~07.10 Weekly,두산,223799,1382000,-3.56,두산,산업재,지주,1433000
07.03~07.10 Weekly,고려아연,217705,1043000,-6.46,영풍,소재,금속소재,1115000
07.03~07.10 Weekly,한미반도체,211593,222000,-4.52,한미반도체,IT,반도체장비,232500
07.03~07.10 Weekly,삼성중공업,196680,22350,-4.89,삼성,산업재,조선,23500
07.03~07.10 Weekly,현대로템,195256,178900,-10.77,현대차,산업재,방산,200500
07.03~07.10 Weekly,메리츠금융지주,192449,115000,1.86,메리츠,금융,금융지주,112900
07.03~07.10 Weekly,SK텔레콤,190519,88700,2.66,SK,커뮤니케이션서비스,통신,86400
07.03~07.10 Weekly,LG화학,186364,264000,-6.22,LG,소재,화학,281500
07.03~07.10 Weekly,HMM,186195,19740,2.97,HMM,산업재,물류운송,19170
07.03~07.10 Weekly,KT&G,180111,173500,-0.91,KT&G,필수소비재,기호품,175100
07.03~07.10 Weekly,LG이노텍,175610,742000,-14.91,LG,IT,전자부품,872000
07.03~07.10 Weekly,SK이노베이션,173955,102900,8.32,SK,에너지,정유,95000
07.03~07.10 Weekly,기업은행,169453,21250,-0.23,IBK,금융,은행,21300
07.03~07.10 Weekly,LIG디펜스앤에어로스페이스,164780,749000,-6.38,LIG,산업재,방산,800000
07.03~07.10 Weekly,HD현대,157591,199500,-3.39,HD현대,산업재,지주,206500
07.03~07.10 Weekly,카카오,156594,35350,-0.42,카카오,커뮤니케이션서비스,플랫폼,35500
07.03~07.10 Weekly,삼성에스디에스,154446,199600,2.15,삼성,IT,IT서비스,195400
07.03~07.10 Weekly,LG,153158,101300,0.2,LG,산업재,지주,101100
07.03~07.10 Weekly,S-Oil,148722,132100,19.87,S-Oil,에너지,정유,110200
07.03~07.10 Weekly,현대글로비스,143700,191600,-2.74,현대차,산업재,물류운송,197000
07.03~07.10 Weekly,한국항공우주,140657,144300,-7.85,KAI,산업재,방산,156600
07.03~07.10 Weekly,에이피알,140393,375000,-1.96,에이피알,필수소비재,화장품,382500
07.03~07.10 Weekly,KT,136596,54200,0.93,KT,커뮤니케이션서비스,통신,53700
07.03~07.10 Weekly,한화시스템,135455,71700,-5.03,한화,산업재,방산,75500
07.03~07.10 Weekly,포스코퓨처엠,135020,151800,-6.41,포스코,소재,배터리,162200
07.03~07.10 Weekly,한국금융지주,133185,239000,-1.24,한국투자금융,금융,금융지주,242000
07.03~07.10 Weekly,현대오토에버,123956,452000,-10.5,현대차,IT,IT서비스,505000
07.03~07.10 Weekly,현대건설,119373,107200,-7.03,현대차,산업재,건설,115300
07.03~07.10 Weekly,NH투자증권,112605,31600,0.64,NH,금융,증권,31400
07.03~07.10 Weekly,크래프톤,109808,238000,1.06,크래프톤,커뮤니케이션서비스,게임,235500
07.03~07.10 Weekly,카카오뱅크,109261,22900,2.92,카카오,금융,은행,22250
07.03~07.10 Weekly,LS,102648,329000,-12.03,LS,산업재,지주,374000
07.03~07.10 Weekly,DB손해보험,102050,155800,6.13,DB,금융,보험,146800
07.03~07.10 Weekly,삼성증권,100016,112000,-5.96,삼성,금융,증권,119100
07.03~07.10 Weekly,대한항공,98499,26750,-7.28,한진,산업재,물류운송,28850
07.03~07.10 Weekly,삼성에피스홀딩스,95675,384500,-7.68,삼성,산업재,지주,416500
07.03~07.10 Weekly,하이브,95040,220500,7.56,하이브,커뮤니케이션서비스,엔터테인먼트,205000
07.03~07.10 Weekly,한진칼,89929,134700,0.52,한진,산업재,지주,134000
07.03~07.10 Weekly,한국타이어앤테크놀로지,88571,71500,6.24,한국앤컴퍼니,자유소비재,자동차,67300
07.03~07.10 Weekly,HD현대마린솔루션,88412,197200,-8.7,HD현대,산업재,조선,216000
07.03~07.10 Weekly,키움증권,88127,336000,-3.59,다우키움,금융,증권,348500
07.03~07.10 Weekly,포스코인터내셔널,87082,49500,0.41,포스코,산업재,상사,49300
07.03~07.10 Weekly,삼성E&A,86436,44100,-8.32,삼성,산업재,건설,48100
07.03~07.10 Weekly,삼양식품,85801,1139000,2.52,삼양,필수소비재,식품,1111000
07.03~07.10 Weekly,이수페타시스,76199,103800,-5.72,이수,IT,전자부품,110100
07.03~07.10 Weekly,GS,74502,80200,9.86,GS,산업재,지주,73000
07.03~07.10 Weekly,아모레퍼시픽,72005,123100,1.57,아모레퍼시픽,필수소비재,화장품,121200
