기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
05.08~05.15 Weekly,삼양식품,108777,1444000,6.18,삼양,필수소비재,식품,1360000
05.08~05.15 Weekly,DB손해보험,107748,164500,-0.06,DB,금융,보험,164600
05.08~05.15 Weekly,카카오뱅크,107114,22450,-5.07,카카오,금융,은행,23650
05.08~05.15 Weekly,하이브,105169,244000,-1.41,하이브,커뮤니케이션서비스,엔터테인먼트,247500
05.08~05.15 Weekly,키움증권,103864,396000,-12.49,다우키움,금융,증권,452500
05.08~05.15 Weekly,한화,99698,141400,0.07,한화,산업재,지주,141300
05.08~05.15 Weekly,삼성E&A,99176,50600,-18.91,삼성,산업재,건설,62400
05.08~05.15 Weekly,HD현대마린솔루션,96616,215500,-10.4,HD현대,산업재,조선,240500
05.08~05.15 Weekly,대한항공,95921,26050,-3.7,한진,산업재,물류운송,27050
05.08~05.15 Weekly,이수페타시스,93964,128000,-9.28,이수,IT,전자부품,141100
05.08~05.15 Weekly,LG씨엔에스,83903,86600,21.97,LG,IT,IT서비스,71000
05.08~05.15 Weekly,두산로보틱스,82581,127400,26.14,두산,산업재,로봇산업,101000
05.08~05.15 Weekly,산일전기,82204,268500,-18.88,산일전기,산업재,전력기기,331000
05.08~05.15 Weekly,한진칼,79581,119200,4.47,한진,산업재,지주,114100
05.08~05.15 Weekly,한국타이어앤테크놀로지,77050,62200,0.16,한국앤컴퍼니,자유소비재,자동차,62100
05.08~05.15 Weekly,SK바이오팜,75651,96600,-2.82,SK,헬스케어,바이오,99400
05.08~05.15 Weekly,GS,71824,77300,-2.64,GS,산업재,지주,79400
05.08~05.15 Weekly,아모레퍼시픽,71361,122000,-5.72,아모레퍼시픽,필수소비재,화장품,129400
05.08~05.15 Weekly,LG디스플레이,70500,14100,14.36,LG,IT,디스플레이,12330
05.08~05.15 Weekly,한화솔루션,69788,40600,-14.16,한화,소재,화학,47300
05.08~05.15 Weekly,LG유플러스,69675,16210,7.71,LG,커뮤니케이션서비스,통신,15050
05.08~05.15 Weekly,카카오페이,69116,51100,-10.35,카카오,금융,핀테크,57000
05.08~05.15 Weekly,유한양행,68497,86000,-0.69,유한,헬스케어,바이오,86600
05.08~05.15 Weekly,코웨이,67017,94700,8.11,넷마블,자유소비재,생활가전/렌탈,87600
05.08~05.15 Weekly,두산밥캣,66812,69700,-6.94,두산,산업재,건설기계,74900
05.08~05.15 Weekly,엘앤에프,64810,160200,-18.18,엘앤에프,소재,배터리,195800
05.08~05.15 Weekly,CJ,63314,217000,-2.25,CJ,산업재,지주,222000
05.08~05.15 Weekly,한화엔진,59748,71600,-9.82,한화,산업재,조선,79400
05.08~05.15 Weekly,삼성카드,58856,50800,-0.2,삼성,금융,카드,50900
