기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
04.03~04.03 Weekly,삼성전자,11010527,186000,-0.48,삼성,IT,반도체,186900
04.03~04.03 Weekly,SK하이닉스,6293162,883000,-0.11,SK,IT,반도체,884000
04.03~04.03 Weekly,현대차,963385,470500,-0.11,현대차,자유소비재,자동차,471000
04.03~04.03 Weekly,LG에너지솔루션,931320,398000,-0.13,LG,소재,배터리,398500
04.03~04.03 Weekly,한화에어로스페이스,753857,1462000,0.34,한화,산업재,방산,1457000
04.03~04.03 Weekly,삼성바이오로직스,723065,1562000,0.45,삼성,헬스케어,바이오,1555000
04.03~04.03 Weekly,SK스퀘어,633358,479500,-0.31,SK,산업재,지주,481000
04.03~04.03 Weekly,두산에너빌리티,620704,96900,-0.21,두산,산업재,전력기기,97100
04.03~04.03 Weekly,기아,590304,151200,-0.13,현대차,자유소비재,자동차,151400
04.03~04.03 Weekly,KB금융,543057,145650,0.17,KB금융,금융,은행,145400
04.03~04.03 Weekly,HD현대중공업,502764,479000,0.84,HD현대,산업재,조선,475000
04.03~04.03 Weekly,셀트리온,452392,195800,0.0,셀트리온,헬스케어,바이오,195800
04.03~04.03 Weekly,삼성생명,443000,221500,0.0,삼성,금융,보험,221500
04.03~04.03 Weekly,신한지주,436207,91900,0.22,신한금융,금융,은행,91700
04.03~04.03 Weekly,삼성물산,428126,264000,0.57,삼성,산업재,상사,262500
04.03~04.03 Weekly,한화오션,388839,126900,-0.47,한화,산업재,조선,127500
04.03~04.03 Weekly,현대모비스,356125,392500,0.64,현대차,자유소비재,자동차부품,390000
04.03~04.03 Weekly,삼성SDI,353368,438500,-0.45,삼성,소재,배터리,440500
04.03~04.03 Weekly,미래에셋증권,351515,63300,0.0,미래에셋,금융,증권,63300
04.03~04.03 Weekly,삼성전기,340230,455500,-0.11,삼성,IT,전자부품,456000
04.03~04.03 Weekly,HD현대일렉트릭,318296,883000,-0.34,HD현대,산업재,전력기기,886000
04.03~04.03 Weekly,NAVER,311196,198400,0.15,NAVER,커뮤니케이션서비스,플랫폼,198100
04.03~04.03 Weekly,고려아연,310172,1486000,-0.4,영풍,소재,금속소재,1492000
04.03~04.03 Weekly,하나금융지주,307828,110600,0.36,하나금융,금융,은행,110200
04.03~04.03 Weekly,POSCO홀딩스,283265,350000,0.43,포스코,소재,철강,348500
04.03~04.03 Weekly,HD한국조선해양,266107,376000,0.8,HD현대,산업재,조선,373000
04.03~04.03 Weekly,한국전력,258712,40300,0.12,한국전력,유틸리티,전력,40250
04.03~04.03 Weekly,한화시스템,255230,135100,-0.52,한화,산업재,방산,135800
04.03~04.03 Weekly,한미반도체,246382,258500,0.58,한미반도체,IT,반도체장비,257000
04.03~04.03 Weekly,삼성중공업,244640,27800,0.0,삼성,산업재,조선,27800
04.03~04.03 Weekly,효성중공업,240200,2576000,0.27,효성,산업재,전력기기,2569000
04.03~04.03 Weekly,우리금융지주,235822,32125,0.23,우리금융,금융,은행,32050
04.03~04.03 Weekly,LS ELECTRIC,230400,768000,0.0,LS,산업재,전력기기,768000
04.03~04.03 Weekly,SK,228021,314500,0.32,SK,산업재,지주,313500
04.03~04.03 Weekly,현대로템,227016,208000,0.0,현대차,산업재,방산,208000
04.03~04.03 Weekly,LG화학,214248,303500,0.0,LG,소재,화학,303500
04.03~04.03 Weekly,삼성화재,204290,444000,0.23,삼성,금융,보험,443000
04.03~04.03 Weekly,카카오,200352,45250,0.0,카카오,커뮤니케이션서비스,플랫폼,45250
04.03~04.03 Weekly,SK이노베이션,197623,116900,-0.76,SK,에너지,정유,117800
04.03~04.03 Weekly,HD현대,194323,246000,0.0,HD현대,산업재,지주,246000
04.03~04.03 Weekly,메리츠금융지주,191647,113400,0.8,메리츠,금융,금융지주,112500
04.03~04.03 Weekly,LIG넥스원,191180,869000,0.58,LIG,산업재,방산,864000
04.03~04.03 Weekly,HMM,190534,20200,0.5,HMM,산업재,물류운송,20100
04.03~04.03 Weekly,포스코퓨처엠,185453,208500,-0.48,포스코,소재,배터리,209500
04.03~04.03 Weekly,KT&G,180042,157000,0.45,KT&G,필수소비재,기호품,156300
04.03~04.03 Weekly,한국항공우주,178184,182800,-0.38,KAI,산업재,방산,183500
04.03~04.03 Weekly,LG전자,176406,108300,0.09,LG,자유소비재,가전,108200
04.03~04.03 Weekly,SK텔레콤,173980,81000,0.25,SK,커뮤니케이션서비스,통신,80800
04.03~04.03 Weekly,기업은행,170649,21400,0.23,IBK,금융,은행,21350
04.03~04.03 Weekly,두산,167606,1035000,-0.67,두산,산업재,지주,1042000
04.03~04.03 Weekly,현대건설,167479,150400,-0.73,현대차,산업재,건설,151500
04.03~04.03 Weekly,현대글로비스,157500,210000,0.0,현대차,산업재,물류운송,210000
04.03~04.03 Weekly,포스코인터내셔널,152525,86700,0.81,포스코,산업재,상사,86000
04.03~04.03 Weekly,KT,150961,59900,0.34,KT,커뮤니케이션서비스,통신,59700
04.03~04.03 Weekly,LG,133633,86650,-0.06,LG,산업재,지주,86700
04.03~04.03 Weekly,삼성에피스홀딩스,124664,501000,0.6,삼성,산업재,지주,498000
04.03~04.03 Weekly,에이피알,123359,329500,0.0,에이피알,필수소비재,화장품,329500
04.03~04.03 Weekly,S-Oil,122715,109000,-3.02,S-Oil,에너지,정유,112400
04.03~04.03 Weekly,삼성에스디에스,118311,152900,0.0,삼성,IT,IT서비스,152900
04.03~04.03 Weekly,한국금융지주,117860,211500,0.24,한국투자금융,금융,금융지주,211000
04.03~04.03 Weekly,크래프톤,116382,245500,0.41,크래프톤,커뮤니케이션서비스,게임,244500
04.03~04.03 Weekly,하이브,115852,269000,-0.19,하이브,커뮤니케이션서비스,엔터테인먼트,269500
04.03~04.03 Weekly,DB손해보험,112749,162500,0.31,DB,금융,보험,162000
04.03~04.03 Weekly,카카오뱅크,111390,23350,0.0,카카오,금융,은행,23350
04.03~04.03 Weekly,키움증권,107861,411500,0.0,다우키움,금융,증권,411500
04.03~04.03 Weekly,NH투자증권,107081,30050,0.17,NH,금융,증권,30000
04.03~04.03 Weekly,현대오토에버,104211,380000,0.4,현대차,IT,IT서비스,378500
04.03~04.03 Weekly,삼양식품,94087,1249000,0.64,삼양,필수소비재,식품,1241000
04.03~04.03 Weekly,한화,85978,114700,0.7,한화,산업재,지주,113900
04.03~04.03 Weekly,대한항공,84323,22900,0.0,한진,산업재,물류운송,22900
04.03~04.03 Weekly,LS,83772,268500,0.37,LS,산업재,지주,267500
04.03~04.03 Weekly,삼성증권,83585,93600,0.54,삼성,금융,증권,93100
04.03~04.03 Weekly,HD현대마린솔루션,79038,176300,-0.06,HD현대,산업재,조선,176400
04.03~04.03 Weekly,삼성E&A,79037,40325,0.56,삼성,산업재,건설,40100
04.03~04.03 Weekly,아모레퍼시픽,77678,132800,0.91,아모레퍼시픽,필수소비재,화장품,131600
04.03~04.03 Weekly,LG이노텍,76918,325000,0.0,LG,IT,전자부품,325000
04.03~04.03 Weekly,이수페타시스,75538,102900,0.29,이수,IT,전자부품,102600
04.03~04.03 Weekly,유한양행,74152,93100,0.22,유한,헬스케어,바이오,92900
04.03~04.03 Weekly,SK바이오팜,73771,94200,0.53,SK,헬스케어,바이오,93700
04.03~04.03 Weekly,한진칼,73372,109900,0.55,한진,산업재,지주,109300
04.03~04.03 Weekly,대우건설,69451,16710,-0.65,중흥,산업재,건설,16820
04.03~04.03 Weekly,한화솔루션,66952,38950,-0.26,한화,소재,화학,39050
04.03~04.03 Weekly,엘앤에프,66778,165600,-0.06,엘앤에프,소재,배터리,165700
04.03~04.03 Weekly,LG유플러스,65893,15330,0.07,LG,커뮤니케이션서비스,통신,15320
04.03~04.03 Weekly,한미약품,65336,510000,0.39,한미,헬스케어,바이오,508000
04.03~04.03 Weekly,카카오페이,65178,48200,0.52,카카오,금융,핀테크,47950
04.03~04.03 Weekly,한국타이어앤테크놀로지,64663,52200,0.29,한국앤컴퍼니,자유소비재,자동차,52050
04.03~04.03 Weekly,한전기술,62451,163400,-0.24,한국전력,산업재,전력기기,163800
