기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
08.20~08.28 Weekly,삼성전자,15551101,266000,-1.85,삼성,IT,반도체,271000
08.20~08.28 Weekly,SK하이닉스,12637518,1730000,2.31,SK,IT,반도체,1691000
08.20~08.28 Weekly,SK스퀘어,1408948,1068000,-4.9,SK,산업재,지주,1123000
08.20~08.28 Weekly,삼성전기,1034508,1385000,-0.79,삼성,IT,전자부품,1396000
08.20~08.28 Weekly,LG에너지솔루션,866970,370500,3.49,LG,소재,배터리,358000
08.20~08.28 Weekly,현대차,814936,398000,-4.67,현대차,자유소비재,자동차,417500
08.20~08.28 Weekly,삼성바이오로직스,737878,1594000,1.27,삼성,헬스케어,바이오,1574000
08.20~08.28 Weekly,삼성생명,614000,307000,3.37,삼성,금융,보험,297000
08.20~08.28 Weekly,삼성물산,608939,375500,0.4,삼성,산업재,상사,374000
08.20~08.28 Weekly,KB금융,596230,168100,5.06,KB금융,금융,은행,160000
08.20~08.28 Weekly,한화에어로스페이스,592979,1150000,-1.46,한화,산업재,방산,1167000
08.20~08.28 Weekly,두산에너빌리티,550242,85900,13.18,두산,산업재,전력기기,75900
08.20~08.28 Weekly,신한지주,510762,108800,7.62,신한금융,금융,은행,101100
08.20~08.28 Weekly,HD현대중공업,493318,470000,-1.16,HD현대,산업재,조선,475500
08.20~08.28 Weekly,기아,492311,126100,-3.81,현대차,자유소비재,자동차,131100
08.20~08.28 Weekly,삼성SDI,458532,569000,13.91,삼성,소재,배터리,499500
08.20~08.28 Weekly,셀트리온,444997,191300,-1.44,셀트리온,헬스케어,바이오,194100
08.20~08.28 Weekly,현대모비스,405540,451500,-10.95,현대차,자유소비재,자동차부품,507000
08.20~08.28 Weekly,SK,403115,556000,-2.11,SK,산업재,지주,568000
08.20~08.28 Weekly,하나금융지주,366555,133600,8.27,하나금융,금융,은행,123400
08.20~08.28 Weekly,LS ELECTRIC,329250,219500,10.19,LS,산업재,전력기기,199200
08.20~08.28 Weekly,NAVER,329246,216500,-1.37,NAVER,커뮤니케이션서비스,플랫폼,219500
08.20~08.28 Weekly,LG전자,323000,198300,-2.07,LG,자유소비재,가전,202500
