기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
07.24~07.31 Weekly,삼성전자,15346481,262500,5.21,삼성,IT,반도체,249500
07.24~07.31 Weekly,SK하이닉스,12549859,1718000,-2.33,SK,IT,반도체,1759000
07.24~07.31 Weekly,SK스퀘어,1369728,1038000,-6.4,SK,산업재,지주,1109000
07.24~07.31 Weekly,삼성전기,853002,1142000,-13.88,삼성,IT,전자부품,1326000
07.24~07.31 Weekly,현대차,794460,388000,-3.24,현대차,자유소비재,자동차,401000
07.24~07.31 Weekly,LG에너지솔루션,767520,328000,-0.46,LG,소재,배터리,329500
07.24~07.31 Weekly,삼성바이오로직스,687421,1485000,-2.17,삼성,헬스케어,바이오,1518000
07.24~07.31 Weekly,삼성생명,623000,311500,-2.04,삼성,금융,보험,318000
07.24~07.31 Weekly,KB금융,597649,168500,-1.75,KB금융,금융,은행,171500
07.24~07.31 Weekly,삼성물산,570019,351500,2.78,삼성,산업재,상사,342000
07.24~07.31 Weekly,기아,514955,131900,1.07,현대차,자유소비재,자동차,130500
07.24~07.31 Weekly,HD현대중공업,504863,481000,-0.93,HD현대,산업재,조선,485500
07.24~07.31 Weekly,한화에어로스페이스,472836,917000,-6.33,한화,산업재,방산,979000
07.24~07.31 Weekly,신한지주,472736,100700,-3.54,신한금융,금융,은행,104400
07.24~07.31 Weekly,셀트리온,434178,186700,5.12,셀트리온,헬스케어,바이오,177600
07.24~07.31 Weekly,현대모비스,431887,476000,-1.24,현대차,자유소비재,자동차부품,482000
07.24~07.31 Weekly,두산에너빌리티,429817,67100,-6.93,두산,산업재,전력기기,72100
07.24~07.31 Weekly,SK,403840,557000,-11.59,SK,산업재,지주,630000
07.24~07.31 Weekly,하나금융지주,344057,125400,-5.29,하나금융,금융,은행,132400
07.24~07.31 Weekly,NAVER,326444,208000,0.24,NAVER,커뮤니케이션서비스,플랫폼,207500
07.24~07.31 Weekly,삼성SDI,319925,397000,-7.24,삼성,소재,배터리,428000
07.24~07.31 Weekly,삼성화재,282172,632000,-1.86,삼성,금융,보험,644000
07.24~07.31 Weekly,LS ELECTRIC,277200,184800,-8.51,LS,산업재,전력기기,202000
07.24~07.31 Weekly,HD한국조선해양,272123,384500,3.36,HD현대,산업재,조선,372000
07.24~07.31 Weekly,LG전자,264036,162100,-4.2,LG,자유소비재,가전,169200
07.24~07.31 Weekly,한화오션,261064,85200,-3.07,한화,산업재,조선,87900
07.24~07.31 Weekly,POSCO홀딩스,247630,312500,-0.16,포스코,소재,철강,313000
07.24~07.31 Weekly,HD현대일렉트릭,246562,684000,-15.56,HD현대,산업재,전력기기,810000
07.24~07.31 Weekly,우리금융지주,244638,33600,8.91,우리금융,금융,은행,30850
07.24~07.31 Weekly,효성중공업,225374,2417000,-9.85,효성,산업재,전력기기,2681000
07.24~07.31 Weekly,한국전력,223403,34800,-1.69,한국전력,유틸리티,전력,35400
07.24~07.31 Weekly,고려아연,208521,999000,-7.07,영풍,소재,금속소재,1075000
07.24~07.31 Weekly,메리츠금융지주,207511,124000,0.57,메리츠,금융,금융지주,123300
07.24~07.31 Weekly,한미반도체,204445,214500,7.25,한미반도체,IT,반도체장비,200000
07.24~07.31 Weekly,HMM,197608,20950,-3.23,HMM,산업재,물류운송,21650
07.24~07.31 Weekly,미래에셋증권,193330,34550,-6.37,미래에셋,금융,증권,36900
07.24~07.31 Weekly,두산,189468,1170000,-1.76,두산,산업재,지주,1191000
07.24~07.31 Weekly,삼성중공업,187880,21350,-6.77,삼성,산업재,조선,22900
07.24~07.31 Weekly,SK이노베이션,186803,110500,-15.07,SK,에너지,정유,130100
07.24~07.31 Weekly,KT&G,185925,179100,-1.92,KT&G,필수소비재,기호품,182600
07.24~07.31 Weekly,LG화학,182128,258000,-0.39,LG,소재,화학,259000
07.24~07.31 Weekly,SK텔레콤,174839,81400,-18.6,SK,커뮤니케이션서비스,통신,100000
07.24~07.31 Weekly,카카오,165675,37400,3.31,카카오,커뮤니케이션서비스,플랫폼,36200
07.24~07.31 Weekly,기업은행,164668,20650,-3.28,IBK,금융,은행,21350
07.24~07.31 Weekly,삼성에스디에스,159398,206000,-1.67,삼성,IT,IT서비스,209500
07.24~07.31 Weekly,HD현대,157670,199600,-10.29,HD현대,산업재,지주,222500
07.24~07.31 Weekly,LIG디펜스앤에어로스페이스,153780,699000,-8.27,LIG,산업재,방산,762000
07.24~07.31 Weekly,LG,152855,101100,3.27,LG,산업재,지주,97900
07.24~07.31 Weekly,현대글로비스,150000,200000,-3.38,현대차,산업재,물류운송,207000
07.24~07.31 Weekly,현대로템,145923,133700,-15.59,현대차,산업재,방산,158400
07.24~07.31 Weekly,S-Oil,143318,127300,-15.81,S-Oil,에너지,정유,151200
07.24~07.31 Weekly,KT,130799,51900,-4.07,KT,커뮤니케이션서비스,통신,54100
07.24~07.31 Weekly,한국항공우주,124086,127300,-19.48,KAI,산업재,방산,158100
07.24~07.31 Weekly,포스코퓨처엠,122479,137700,-2.75,포스코,소재,배터리,141600
07.24~07.31 Weekly,LG이노텍,121649,514000,-17.76,LG,IT,전자부품,625000
07.24~07.31 Weekly,에이피알,119802,320000,-9.6,에이피알,필수소비재,화장품,354000
07.24~07.31 Weekly,한화시스템,118075,62500,-8.36,한화,산업재,방산,68200
07.24~07.31 Weekly,한국금융지주,115074,206500,-3.05,한국투자금융,금융,금융지주,213000
07.24~07.31 Weekly,크래프톤,112115,243000,0.21,크래프톤,커뮤니케이션서비스,게임,242500
07.24~07.31 Weekly,카카오뱅크,105444,22100,0.23,카카오,금융,은행,22050
07.24~07.31 Weekly,현대건설,105343,94600,-10.92,현대차,산업재,건설,106200
07.24~07.31 Weekly,NH투자증권,105224,28500,-1.89,NH,금융,증권,29050
07.24~07.31 Weekly,DB손해보험,102836,157000,-6.49,DB,금융,보험,167900
