기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
08.07~08.14 Weekly,삼성전자,16048035,274500,18.83,삼성,IT,반도체,231000
08.07~08.14 Weekly,SK하이닉스,12016599,1645000,15.68,SK,IT,반도체,1422000
08.07~08.14 Weekly,SK스퀘어,1522800,1154000,22.9,SK,산업재,지주,939000
08.07~08.14 Weekly,삼성전기,1163728,1558000,21.91,삼성,IT,전자부품,1278000
08.07~08.14 Weekly,현대차,927553,453000,14.54,현대차,자유소비재,자동차,395500
08.07~08.14 Weekly,LG에너지솔루션,864630,369500,2.64,LG,소재,배터리,360000
08.07~08.14 Weekly,삼성바이오로직스,716584,1548000,-0.51,삼성,헬스케어,바이오,1556000
08.07~08.14 Weekly,삼성생명,602000,301000,9.26,삼성,금융,보험,275500
08.07~08.14 Weekly,삼성물산,598398,369000,9.66,삼성,산업재,상사,336500
08.07~08.14 Weekly,한화에어로스페이스,598135,1160000,5.74,한화,산업재,방산,1097000
08.07~08.14 Weekly,KB금융,597649,168500,-4.15,KB금융,금융,은행,175800
08.07~08.14 Weekly,기아,553215,141700,5.04,현대차,자유소비재,자동차,134900
08.07~08.14 Weekly,HD현대중공업,535302,510000,0.79,HD현대,산업재,조선,506000
08.07~08.14 Weekly,두산에너빌리티,529104,82600,7.13,두산,산업재,전력기기,77100
08.07~08.14 Weekly,신한지주,504190,107400,-2.36,신한금융,금융,은행,110000
08.07~08.14 Weekly,현대모비스,496307,547000,10.17,현대차,자유소비재,자동차부품,496500
08.07~08.14 Weekly,셀트리온,467561,201000,0.85,셀트리온,헬스케어,바이오,199300
08.07~08.14 Weekly,SK,424141,585000,15.16,SK,산업재,지주,508000
08.07~08.14 Weekly,삼성SDI,415821,516000,12.42,삼성,소재,배터리,459000
08.07~08.14 Weekly,하나금융지주,364909,133000,-1.26,하나금융,금융,은행,134700
08.07~08.14 Weekly,NAVER,357909,228000,8.57,NAVER,커뮤니케이션서비스,플랫폼,210000
08.07~08.14 Weekly,LG전자,350202,215000,16.22,LG,자유소비재,가전,185000
08.07~08.14 Weekly,LS ELECTRIC,309750,206500,2.74,LS,산업재,전력기기,201000
08.07~08.14 Weekly,한화오션,293544,95800,7.16,한화,산업재,조선,89400
08.07~08.14 Weekly,HD현대일렉트릭,289458,803000,5.38,HD현대,산업재,전력기기,762000
08.07~08.14 Weekly,효성중공업,275447,2954000,4.31,효성,산업재,전력기기,2832000
08.07~08.14 Weekly,삼성화재,274582,615000,-4.65,삼성,금융,보험,645000
08.07~08.14 Weekly,HD한국조선해양,273184,386000,-3.14,HD현대,산업재,조선,398500
08.07~08.14 Weekly,POSCO홀딩스,264667,334000,0.91,포스코,소재,철강,331000
08.07~08.14 Weekly,고려아연,249641,1196000,8.14,영풍,소재,금속소재,1106000
08.07~08.14 Weekly,우리금융지주,245366,33700,-3.16,우리금융,금융,은행,34800
08.07~08.14 Weekly,한미반도체,218265,229000,19.08,한미반도체,IT,반도체장비,192300
08.07~08.14 Weekly,SK이노베이션,217571,128700,6.98,SK,에너지,정유,120300
08.07~08.14 Weekly,SK텔레콤,215864,100500,13.95,SK,커뮤니케이션서비스,통신,88200
08.07~08.14 Weekly,한국전력,213453,33250,-6.6,한국전력,유틸리티,전력,35600
08.07~08.14 Weekly,미래에셋증권,210677,37650,11.06,미래에셋,금융,증권,33900
08.07~08.14 Weekly,두산,206633,1276000,7.14,두산,산업재,지주,1191000
08.07~08.14 Weekly,HMM,200438,21250,-2.52,HMM,산업재,물류운송,21800
08.07~08.14 Weekly,LG화학,198012,280500,1.63,LG,소재,화학,276000
08.07~08.14 Weekly,삼성중공업,196240,22300,1.13,삼성,산업재,조선,22050
08.07~08.14 Weekly,메리츠금융지주,195294,116700,-7.6,메리츠,금융,금융지주,126300
08.07~08.14 Weekly,삼성에스디에스,188415,243500,9.93,삼성,IT,IT서비스,221500
08.07~08.14 Weekly,HD현대,186029,235500,4.67,HD현대,산업재,지주,225000
08.07~08.14 Weekly,KT&G,182706,176000,-6.78,KT&G,필수소비재,기호품,188800
08.07~08.14 Weekly,LG,181430,120000,11.01,LG,산업재,지주,108100
08.07~08.14 Weekly,LIG디펜스앤에어로스페이스,179300,815000,9.99,LIG,산업재,방산,741000
08.07~08.14 Weekly,카카오,177192,40000,0.25,카카오,커뮤니케이션서비스,플랫폼,39900
08.07~08.14 Weekly,S-Oil,166172,147600,7.27,S-Oil,에너지,정유,137600
08.07~08.14 Weekly,기업은행,162675,20400,-1.69,IBK,금융,은행,20750
08.07~08.14 Weekly,현대로템,160330,146900,0.0,현대차,산업재,방산,146900
08.07~08.14 Weekly,현대글로비스,158250,211000,1.69,현대차,산업재,물류운송,207500
08.07~08.14 Weekly,LG이노텍,154783,654000,18.48,LG,IT,전자부품,552000
08.07~08.14 Weekly,한화시스템,151702,80300,13.58,한화,산업재,방산,70700
08.07~08.14 Weekly,포스코퓨처엠,151653,170500,9.44,포스코,소재,배터리,155800
08.07~08.14 Weekly,에이피알,146196,390500,1.56,에이피알,필수소비재,화장품,384500
08.07~08.14 Weekly,한국항공우주,142704,146400,-5.06,KAI,산업재,방산,154200
08.07~08.14 Weekly,KT,134580,53400,0.19,KT,커뮤니케이션서비스,통신,53300
08.07~08.14 Weekly,현대오토에버,134240,489500,18.81,현대차,IT,IT서비스,412000
