기준시각,종목명,시가총액,현재가,등락률,그룹사,1차 분류,2차 분류,현재가_last
07.17~07.24 Weekly,삼성전자,14586465,249500,-2.16,삼성,IT,반도체,255000
07.17~07.24 Weekly,SK하이닉스,12536435,1759000,-4.51,SK,IT,반도체,1842000
07.17~07.24 Weekly,SK스퀘어,1463418,1109000,-8.5,SK,산업재,지주,1212000
07.17~07.24 Weekly,삼성전기,990438,1326000,3.84,삼성,IT,전자부품,1277000
07.17~07.24 Weekly,현대차,821079,401000,-5.65,현대차,자유소비재,자동차,425000
07.17~07.24 Weekly,LG에너지솔루션,771030,329500,-1.35,LG,소재,배터리,334000
07.17~07.24 Weekly,삼성바이오로직스,702697,1518000,8.74,삼성,헬스케어,바이오,1396000
07.17~07.24 Weekly,삼성생명,636000,318000,-3.93,삼성,금융,보험,331000
07.17~07.24 Weekly,KB금융,608289,171500,-5.3,KB금융,금융,은행,181100
07.17~07.24 Weekly,삼성물산,554613,342000,-1.16,삼성,산업재,상사,346000
07.17~07.24 Weekly,HD현대중공업,509587,485500,0.31,HD현대,산업재,조선,484000
07.17~07.24 Weekly,기아,509489,130500,-12.83,현대차,자유소비재,자동차,149700
07.17~07.24 Weekly,한화에어로스페이스,504806,979000,3.82,한화,산업재,방산,943000
07.17~07.24 Weekly,신한지주,495539,104400,-3.24,신한금융,금융,은행,107900
07.17~07.24 Weekly,두산에너빌리티,461845,72100,3.44,두산,산업재,전력기기,69700
07.17~07.24 Weekly,SK,456767,630000,8.62,SK,산업재,지주,580000
07.17~07.24 Weekly,현대모비스,437331,482000,0.0,현대차,자유소비재,자동차부품,482000
07.17~07.24 Weekly,셀트리온,413015,177600,1.02,셀트리온,헬스케어,바이오,175800
07.17~07.24 Weekly,하나금융지주,363263,132400,-3.22,하나금융,금융,은행,136800
07.17~07.24 Weekly,삼성SDI,344906,428000,-1.5,삼성,소재,배터리,434500
07.17~07.24 Weekly,NAVER,325659,207500,9.21,NAVER,커뮤니케이션서비스,플랫폼,190000
07.17~07.24 Weekly,LS ELECTRIC,303000,202000,6.32,LS,산업재,전력기기,190000
07.17~07.24 Weekly,HD현대일렉트릭,291982,810000,1.63,HD현대,산업재,전력기기,797000
07.17~07.24 Weekly,삼성화재,287530,644000,-8.13,삼성,금융,보험,701000
07.17~07.24 Weekly,LG전자,275601,169200,-5.47,LG,자유소비재,가전,179000
07.17~07.24 Weekly,한화오션,269337,87900,1.38,한화,산업재,조선,86700
07.17~07.24 Weekly,HD한국조선해양,263276,372000,5.08,HD현대,산업재,조선,354000
07.17~07.24 Weekly,효성중공업,249991,2681000,-3.87,효성,산업재,전력기기,2789000
